,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_time,ans_prob_obs_edit_subject_people,ans_prob_obs_edit_subject_year,ans_prob_obs_edit_subject_way,ans_prob_obs_edit_subject_thing,ans_prob_obs_edit_subject_man,ans_prob_obs_edit_subject_day,ans_prob_obs_edit_subject_life,ans_prob_obs_edit_subject_woman,ans_prob_obs_edit_subject_world,ans_prob_obs_edit_subject_child,ans_prob_obs_edit_subject_school,ans_prob_obs_edit_subject_state,ans_prob_obs_edit_subject_family,ans_prob_obs_edit_subject_president,ans_prob_obs_edit_subject_house,ans_prob_obs_edit_subject_student,ans_prob_obs_edit_subject_part,ans_prob_obs_edit_subject_place,ans_prob_obs_edit_subject_problem,ans_prob_obs_edit_subject_country,ans_prob_obs_edit_subject_week,ans_prob_obs_edit_subject_point,ans_prob_obs_edit_subject_hand,ans_prob_obs_edit_subject_group,ans_prob_obs_edit_subject_guy,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_question,ans_prob_obs_edit_subject_work,ans_prob_obs_edit_subject_night,ans_prob_obs_edit_subject_game,ans_prob_obs_edit_subject_number,ans_prob_obs_edit_subject_money,ans_prob_obs_edit_subject_lot,ans_prob_obs_edit_subject_book,ans_prob_obs_edit_subject_system,ans_prob_obs_edit_subject_government,ans_prob_obs_edit_subject_city,ans_prob_obs_edit_subject_company,ans_prob_obs_edit_subject_story
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.23220454156398773,0.09932209551334381,0.06960853934288025,0.13830198347568512,0.06878391653299332,0.06912926584482193,0.06294649839401245,0.09635527431964874,0.044842466711997986,0.09037647396326065,0.07135812193155289,0.05090487003326416,0.061467379331588745,0.02694646641612053,0.10466983169317245,0.07022709399461746,0.059498902410268784,0.1052379235625267,0.05878853797912598,0.06515515595674515,0.06345673650503159,0.10602664202451706,0.08410361409187317,0.05407119542360306,0.1261950582265854,0.039467986673116684,0.04289427772164345,0.11816465109586716,0.04479491338133812,0.06332167983055115,0.12822040915489197,0.054504502564668655,0.09930816292762756,0.11795133352279663,0.1789601892232895,0.04863234609365463,0.055574215948581696,0.08379215747117996,0.08661270141601562,0.04668620601296425,0.06948160380125046,0.1037621721625328
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.8061018586158752,0.34523141384124756,0.37660080194473267,0.41741687059402466,0.2740973234176636,0.3157447576522827,0.32517436146736145,0.3857860863208771,0.1955023556947708,0.31304341554641724,0.6352002024650574,0.1601734608411789,0.27637481689453125,0.15628400444984436,0.23078003525733948,0.24104760587215424,0.7726993560791016,0.444278359413147,0.09979020059108734,0.19153203070163727,0.5123926997184753,0.30978405475616455,0.19937561452388763,0.46927711367607117,0.2051384449005127,0.4646013081073761,0.14928023517131805,0.21400204300880432,0.1999647170305252,0.1631346195936203,0.3716485798358917,0.394773006439209,0.17671941220760345,0.5496641993522644,0.15242448449134827,0.31909996271133423,0.28500083088874817,0.05970371514558792,0.3794371485710144,0.14212089776992798,0.12250993400812149,0.3787132501602173
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.22169145941734314,0.030902063474059105,0.03831951320171356,0.037987325340509415,0.03256446495652199,0.022683285176753998,0.011636996641755104,0.03671906888484955,0.014779970981180668,0.017686299979686737,0.030771290883421898,0.038427505642175674,0.031749118119478226,0.020035022869706154,0.03132214769721031,0.015338204801082611,0.03586023673415184,0.02413633093237877,0.012606501579284668,0.03188888728618622,0.021519621834158897,0.026794670149683952,0.04096530005335808,0.0315948985517025,0.03436832129955292,0.02488270215690136,0.034064069390296936,0.016439413651823997,0.02361217699944973,0.0458127036690712,0.021146705374121666,0.028096912428736687,0.023149842396378517,0.030785806477069855,0.020151756703853607,0.028496254235506058,0.013219358399510384,0.06123755872249603,0.04734962806105614,0.021577950567007065,0.018813202157616615,0.024424495175480843
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.9589110016822815,0.187300905585289,0.2596109211444855,0.13684171438217163,0.10010786354541779,0.07328484952449799,0.09234511107206345,0.17600443959236145,0.05311577394604683,0.09628036618232727,0.07724102586507797,0.19514784216880798,0.025273967534303665,0.019571051001548767,0.19273574650287628,0.009440260007977486,0.1382027119398117,0.4209666848182678,0.023795459419488907,0.24050746858119965,0.046727653592824936,0.10724687576293945,0.06759222596883774,0.0631684958934784,0.09481458365917206,0.26215094327926636,0.05446481332182884,0.0616217777132988,0.08304572850465775,0.2680116295814514,0.024538002908229828,0.07246015965938568,0.04568939656019211,0.09547360986471176,0.2688577473163605,0.4885464310646057,0.06073728948831558,0.2877117097377777,0.11592739075422287,0.02866705134510994,0.05965937674045563,0.05286521837115288
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.38803237676620483,0.382942795753479,0.39682039618492126,0.42423900961875916,0.37297794222831726,0.3650561571121216,0.340444952249527,0.37453827261924744,0.3734416961669922,0.44002336263656616,0.3724735975265503,0.4611395001411438,0.3158673942089081,0.4180541932582855,0.45865562558174133,0.31751519441604614,0.30698931217193604,0.4249913692474365,0.3380802869796753,0.38656774163246155,0.3262077569961548,0.33262112736701965,0.33516356348991394,0.3686988949775696,0.4059247076511383,0.42722928524017334,0.4448246359825134,0.3479609787464142,0.3491058349609375,0.3353113532066345,0.3383808434009552,0.39603424072265625,0.35318148136138916,0.371299684047699,0.42354756593704224,0.3392583429813385,0.3924444913864136,0.342793345451355,0.46362730860710144,0.3625645637512207,0.25638189911842346,0.3861273527145386
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.00902332179248333,0.0018179152393713593,0.0019577264320105314,0.004743728321045637,0.00424888776615262,0.0014519214164465666,0.006438931915909052,0.0005814197938889265,0.002146245213225484,0.0009510886739008129,0.0019080591155216098,0.0038362564519047737,0.002340699778869748,0.0005889799795113504,0.0024254629388451576,0.00454556243494153,0.006503204815089703,0.002607350004836917,0.0013766024494543672,0.01793072372674942,0.0008476536604575813,0.002228786703199148,0.012167113833129406,0.0010941731743514538,0.002650927985087037,0.00047664824523963034,0.003841280471533537,0.0006081187166273594,0.002011848846450448,0.0011578452540561557,0.0012938586296513677,0.0016216133954003453,0.0021267591509968042,0.004317569546401501,0.0014322777278721333,0.0025946509558707476,0.0018443443113937974,0.0013202853733673692,0.002630731789395213,0.005429311655461788,0.001336278161033988,0.00469959108158946
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.7795689702033997,0.2031201869249344,0.1575552076101303,0.2210385650396347,0.13082431256771088,0.11895808577537537,0.09742509573698044,0.1457662433385849,0.06493543088436127,0.10395609587430954,0.20004324615001678,0.30361151695251465,0.08877040445804596,0.04831019043922424,0.08732269704341888,0.1573135107755661,0.1041288673877716,0.055189866572618484,0.0730631947517395,0.09724941104650497,0.18574732542037964,0.06992127001285553,0.08243662118911743,0.17361818253993988,0.16204412281513214,0.0657481700181961,0.14942146837711334,0.11256588995456696,0.09253544360399246,0.09391244500875473,0.10340900719165802,0.15469671785831451,0.15755636990070343,0.11503977328538895,0.27356579899787903,0.049832046031951904,0.09608084708452225,0.12047258019447327,0.17242853343486786,0.1629188507795334,0.09329713135957718,0.11741854250431061
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.6753308773040771,0.02916082553565502,0.01572178676724434,0.017486725002527237,0.029706571251153946,0.027416875585913658,0.014966260641813278,0.016433166339993477,0.020545797422528267,0.02009231224656105,0.019559426233172417,0.006981867365539074,0.024827012792229652,0.019132191315293312,0.036364614963531494,0.02210409753024578,0.039927564561367035,0.004943838343024254,0.014837129972875118,0.01438086573034525,0.01874859817326069,0.0209160428494215,0.018580066040158272,0.015689734369516373,0.0123362448066473,0.021960873156785965,0.009800848551094532,0.011303880251944065,0.01626441814005375,0.03543958067893982,0.010137561708688736,0.024061575531959534,0.010653985664248466,0.031678881496191025,0.020493587478995323,0.011218295432627201,0.02985711582005024,0.02783672697842121,0.06552363187074661,0.02511509507894516,0.005928258411586285,0.013430620543658733
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.9983311295509338,0.9849100708961487,0.9870930314064026,0.9912635087966919,0.979698896408081,0.9543848633766174,0.9620153903961182,0.9813147187232971,0.9580186009407043,0.977545440196991,0.9862496852874756,0.9442611932754517,0.9877117276191711,0.9049691557884216,0.9825335144996643,0.9864540696144104,0.9653176069259644,0.8880066275596619,0.9766405820846558,0.9737688899040222,0.983424723148346,0.8587637543678284,0.9495728015899658,0.9412137269973755,0.9834944605827332,0.9114968776702881,0.9296150207519531,0.8828060030937195,0.9493845701217651,0.8800166249275208,0.982725203037262,0.969067394733429,0.9707809090614319,0.9806599020957947,0.9451407194137573,0.8817592859268188,0.9276438355445862,0.9901722073554993,0.9799197316169739,0.9879910349845886,0.9718067646026611,0.9023486971855164
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.7671751976013184,0.7016316056251526,0.6196894645690918,0.661997377872467,0.5970964431762695,0.6173205375671387,0.6360012888908386,0.6306355595588684,0.603079617023468,0.6772525310516357,0.5571063160896301,0.662002444267273,0.6453951597213745,0.6867455244064331,0.5844568610191345,0.6465891599655151,0.6495601534843445,0.4329295754432678,0.7059856653213501,0.6230414509773254,0.5101075768470764,0.666898250579834,0.4456608295440674,0.6020886301994324,0.5498494505882263,0.5506781339645386,0.7295522689819336,0.6701887845993042,0.6582345366477966,0.5825939774513245,0.5809130072593689,0.6291732788085938,0.6560002565383911,0.6085121631622314,0.6521140933036804,0.40893644094467163,0.4421465992927551,0.5864338874816895,0.7104938626289368,0.6590897440910339,0.5777880549430847,0.5222588777542114
