,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_if,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_than,ans_prob_obs_edit_subject_because,ans_prob_obs_edit_subject_while,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_since,ans_prob_obs_edit_subject_though,ans_prob_obs_edit_subject_after,ans_prob_obs_edit_subject_until,ans_prob_obs_edit_subject_whether,ans_prob_obs_edit_subject_before,ans_prob_obs_edit_subject_although,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_unless,ans_prob_obs_edit_subject_nor,ans_prob_obs_edit_subject_once,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_except,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_soon,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_rather,ans_prob_obs_edit_subject_and/or,ans_prob_obs_edit_subject_whereas,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_till,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_provided,ans_prob_obs_edit_subject_considering,ans_prob_obs_edit_subject_given
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.24717414379119873,0.06696479022502899,0.07144732028245926,0.06896769255399704,0.05362992361187935,0.047239627689123154,0.06053809076547623,0.053784869611263275,0.05111953616142273,0.04662315174937248,0.062169890850782394,0.06730209290981293,0.059725381433963776,0.04756522551178932,0.06695275008678436,0.06690464913845062,0.03787323832511902,0.05370248481631279,0.08701878041028976,0.048410382121801376,0.06311269104480743,0.05022886395454407,0.060723982751369476,0.06163030117750168,0.05796897038817406,0.09159974753856659,0.07707379758358002,0.057235077023506165,0.033860500901937485,0.05793409049510956,0.07201950997114182,0.03660077601671219,0.060809195041656494,0.08144762367010117,0.02597636729478836,0.041261229664087296,0.0617549754679203,0.043703097850084305,0.04051708057522774,0.05302218347787857,0.031542450189590454,0.04899654909968376
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0900239571928978,0.017389710992574692,0.01916510984301567,0.015610761009156704,0.020334865897893906,0.019779926165938377,0.015947340056300163,0.02142833173274994,0.0180959552526474,0.009440149180591106,0.017592942342162132,0.013171288184821606,0.020211713388562202,0.01929977536201477,0.01694055274128914,0.0159614197909832,0.022313684225082397,0.025611458346247673,0.009904321283102036,0.014384336769580841,0.01600894331932068,0.016612766310572624,0.015767525881528854,0.019003525376319885,0.011171229183673859,0.014199119061231613,0.014393288642168045,0.01732305809855461,0.013028179295361042,0.013362712226808071,0.019816020503640175,0.008890300989151001,0.019678693264722824,0.011807464994490147,0.028649553656578064,0.017003269866108894,0.016886083409190178,0.0218479223549366,0.013768160715699196,0.021632634103298187,0.01666332222521305,0.02226751111447811
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.05808047950267792,0.0371813140809536,0.029154198244214058,0.03942390903830528,0.03548413887619972,0.024774108082056046,0.04049096256494522,0.027789494022727013,0.031699471175670624,0.03477661684155464,0.032190851867198944,0.028173858299851418,0.046256810426712036,0.0351688452064991,0.025070123374462128,0.03729749470949173,0.028248701244592667,0.03629608452320099,0.04338349029421806,0.04428092762827873,0.032759472727775574,0.03370460122823715,0.03665779531002045,0.04450727999210358,0.01981605589389801,0.04307631403207779,0.03663792461156845,0.054089710116386414,0.012537139467895031,0.02037065662443638,0.03913973271846771,0.018342066556215286,0.027490416541695595,0.03694477677345276,0.0225567314773798,0.039744339883327484,0.03325740247964859,0.01924247480928898,0.02922550030052662,0.049800850450992584,0.02357778698205948,0.042226213961839676
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.5816777944564819,0.11867374181747437,0.10967285186052322,0.10421773791313171,0.1002836525440216,0.06793881952762604,0.0956597626209259,0.06173687055706978,0.07298684120178223,0.07025252282619476,0.09431583434343338,0.09746500849723816,0.1254379153251648,0.0957331731915474,0.14138631522655487,0.0848032534122467,0.04815438389778137,0.056575872004032135,0.09558011591434479,0.05154538154602051,0.061139825731515884,0.05240169167518616,0.0963575467467308,0.07256271690130234,0.05510488897562027,0.06882822513580322,0.11699528992176056,0.08486579358577728,0.05131671577692032,0.06966778635978699,0.1130809634923935,0.026537680998444557,0.05348438769578934,0.09955479204654694,0.051769763231277466,0.06423188000917435,0.05436374619603157,0.035764142870903015,0.06384584307670593,0.10452314466238022,0.11572161316871643,0.18951542675495148
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.5020728707313538,0.4732044041156769,0.4573988616466522,0.4240052402019501,0.36518406867980957,0.48003968596458435,0.4144667983055115,0.4134170413017273,0.4483463764190674,0.5078018307685852,0.44923773407936096,0.4598359167575836,0.41799911856651306,0.4427080452442169,0.4529092609882355,0.42852315306663513,0.4106574058532715,0.4530581831932068,0.39076921343803406,0.4054834842681885,0.4194364547729492,0.42614907026290894,0.45132678747177124,0.4429745078086853,0.3632957935333252,0.4907325804233551,0.3930678963661194,0.4050213098526001,0.4135383367538452,0.458908349275589,0.41396579146385193,0.4109145700931549,0.42393940687179565,0.491993248462677,0.4333038926124573,0.377226322889328,0.3534431755542755,0.4051833152770996,0.42036768794059753,0.4367530643939972,0.39018961787223816,0.39138540625572205
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.05934426933526993,0.01390092819929123,0.017270462587475777,0.017174480482935905,0.015638822689652443,0.013421382755041122,0.014245131053030491,0.015146777965128422,0.026104029268026352,0.021015819162130356,0.014230436645448208,0.02469561994075775,0.02098606713116169,0.016140710562467575,0.016538534313440323,0.018486203625798225,0.020564179867506027,0.020302973687648773,0.013603654690086842,0.02152835763990879,0.015088352374732494,0.021412421017885208,0.015927212312817574,0.024319009855389595,0.01865328848361969,0.013727394863963127,0.007863705977797508,0.024952005594968796,0.012016105465590954,0.022135363891720772,0.021160198375582695,0.014554285444319248,0.010607912205159664,0.023878075182437897,0.012313518673181534,0.01620357669889927,0.01756308041512966,0.02075185999274254,0.03435713052749634,0.015390179120004177,0.02377149648964405,0.018781304359436035
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.10881352424621582,0.006768414750695229,0.00622714776545763,0.008002407848834991,0.005059823393821716,0.0060534123331308365,0.006253809668123722,0.005144000519067049,0.004298009444028139,0.01148554403334856,0.006469360552728176,0.005843407474458218,0.004112097434699535,0.0054707955569028854,0.005716828163713217,0.005934901535511017,0.005598179530352354,0.004968305584043264,0.009442842565476894,0.008245940320193768,0.0056296889670193195,0.007551218848675489,0.006835664622485638,0.006997293327003717,0.007754148915410042,0.004203924909234047,0.004865975584834814,0.0052016498520970345,0.007530467584729195,0.008314301259815693,0.004846984054893255,0.0064209215342998505,0.006366794463247061,0.006397348362952471,0.008604943752288818,0.004858237225562334,0.005756622180342674,0.005257601849734783,0.006882994435727596,0.008567014709115028,0.004402670543640852,0.006068980786949396
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.04077146574854851,0.006737994495779276,0.006677297875285149,0.008498375304043293,0.010098742321133614,0.006428210064768791,0.009285400621592999,0.006993246730417013,0.007968243211507797,0.007606962230056524,0.009647791273891926,0.006149117834866047,0.006669982802122831,0.008239762857556343,0.008342276327311993,0.00698777474462986,0.008328215219080448,0.0075814747251570225,0.007782947737723589,0.007592817302793264,0.007443991955369711,0.006685153115540743,0.005738747771829367,0.006402506493031979,0.006460569333285093,0.003995753824710846,0.005170783493667841,0.005224931053817272,0.009977196343243122,0.010838642716407776,0.007101371884346008,0.005380556918680668,0.007187814451754093,0.006243142765015364,0.007073212880641222,0.01085419300943613,0.00615655304864049,0.006806614343076944,0.0052166711539030075,0.008348355069756508,0.004496540408581495,0.0066600702702999115
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.6805449724197388,0.27269548177719116,0.25478699803352356,0.1977364867925644,0.21344324946403503,0.1607474535703659,0.2090352475643158,0.18933434784412384,0.24609209597110748,0.2888466715812683,0.13701319694519043,0.18011774122714996,0.2707904875278473,0.2186880111694336,0.17338521778583527,0.39968276023864746,0.21076548099517822,0.2070172131061554,0.20545321702957153,0.16940508782863617,0.3519662320613861,0.26514652371406555,0.2850472927093506,0.21368199586868286,0.24591444432735443,0.28604018688201904,0.1999567151069641,0.24376803636550903,0.19151932001113892,0.16529768705368042,0.32563120126724243,0.1967831552028656,0.2185565084218979,0.2732335031032562,0.09208233654499054,0.15971936285495758,0.2288290411233902,0.11782769858837128,0.20381848514080048,0.15996816754341125,0.1629815399646759,0.11276311427354813
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.18591775000095367,0.12079161405563354,0.08854322880506516,0.0986737459897995,0.08682411909103394,0.10994312167167664,0.08817765861749649,0.08303160220384598,0.10151880979537964,0.12791599333286285,0.11667995899915695,0.10415123403072357,0.0985657125711441,0.07891698181629181,0.14674648642539978,0.11521045863628387,0.10721033811569214,0.11092574149370193,0.09020425379276276,0.08190380036830902,0.12419265508651733,0.0886353924870491,0.10996459424495697,0.0990237221121788,0.10841002315282822,0.12684915959835052,0.09279479086399078,0.11589867621660233,0.08586809784173965,0.1115022599697113,0.10482421517372131,0.10684838891029358,0.10210706293582916,0.11053835600614548,0.09165505319833755,0.051486533135175705,0.08073841780424118,0.09121759980916977,0.09144537895917892,0.1169208511710167,0.06215803697705269,0.08043714612722397
