,prompt,layer,head,head_output,model
0,George Washington fought in the,0,0,"[3.2499514e+00 4.0059628e+00 1.4526260e+00 ... 2.3967028e-04 4.8766804e-01
 3.5530956e+00]",gpt2-small
1,George Washington fought in the,0,1,[ 0.9502523  2.194569   0.6281576 ... -1.9651242 -1.688934   2.0204432],gpt2-small
2,George Washington fought in the,0,2,"[ 4.617139    4.855564    2.2196367  ... -0.46026412  0.14533746
  3.9855618 ]",gpt2-small
3,George Washington fought in the,0,3,"[ 3.16429     3.4254062   0.93741465 ... -0.80632275 -0.00396991
  3.2365928 ]",gpt2-small
4,George Washington fought in the,0,4,[ 3.8837428  3.9873402  2.7809734 ... -1.6502193 -1.1527538  4.274807 ],gpt2-small
5,George Washington fought in the,0,5,"[ 2.8684118   3.5481942   1.1473331  ... -0.20994306 -0.5281054
  4.207848  ]",gpt2-small
6,George Washington fought in the,0,6,[ 3.2166426  3.292963   2.5235004 ...  2.0314925 -2.3768609  4.729898 ],gpt2-small
7,George Washington fought in the,0,7,[ 2.9036863  3.5519822  1.8496795 ... -2.3055434 -1.3161912  3.7841206],gpt2-small
8,George Washington fought in the,0,8,"[ 3.5087907   5.1298037   1.6811261  ... -3.198606    0.24075043
  3.560224  ]",gpt2-small
9,George Washington fought in the,0,9,[ 2.261126   4.0689187  2.5482302 ... -2.1515908  2.5641165  2.0210965],gpt2-small
10,George Washington fought in the,0,10,"[ 4.538168    3.7859383   2.3305922  ... -1.1373851   0.08310091
  3.433507  ]",gpt2-small
11,George Washington fought in the,0,11,"[ 3.7477493   6.317204    3.943385   ... -0.29554802 -2.1772604
  2.8605475 ]",gpt2-small
0,George Washington fought in the,1,0,[ 3.8167393  3.5475168  1.9767364 ... -1.2529316 -0.6317075  3.6821194],gpt2-small
1,George Washington fought in the,1,1,[ 3.5980935  3.7539759  2.033732  ... -1.3397584 -1.4240159  2.9766326],gpt2-small
2,George Washington fought in the,1,2,"[ 2.8321905   2.3034766   2.0375211  ... -0.42206302  1.1108496
  2.9141152 ]",gpt2-small
3,George Washington fought in the,1,3,[ 4.8942842  5.229181   3.5535111 ... -0.799036   0.5440426  4.640298 ],gpt2-small
4,George Washington fought in the,1,4,[ 2.9994693  4.263001   1.8656223 ... -0.4260472 -1.900152   3.9898276],gpt2-small
5,George Washington fought in the,1,5,[4.304874   1.6351824  1.3092581  ... 0.13866687 0.6487256  4.0326004 ],gpt2-small
6,George Washington fought in the,1,6,"[ 2.6436372   3.6723967   2.007824   ... -0.80851287 -0.7329676
  4.207883  ]",gpt2-small
7,George Washington fought in the,1,7,"[ 3.8242464   6.139429    2.4850059  ... -1.5428851   0.06800044
  2.6042824 ]",gpt2-small
8,George Washington fought in the,1,8,[ 4.45221    4.736438   2.0534554 ... -1.4627969 -1.2775968  4.0421815],gpt2-small
9,George Washington fought in the,1,9,"[ 3.706142    4.575459    2.2611308  ... -1.4156373  -0.62715733
  3.9779704 ]",gpt2-small
10,George Washington fought in the,1,10,"[ 2.3974624   2.6123447   1.7341535  ... -0.59037113  0.5224006
  3.43289   ]",gpt2-small
11,George Washington fought in the,1,11,[ 3.204082   4.2163014  2.674332  ... -0.6416713 -2.1085029  5.190527 ],gpt2-small
0,George Washington fought in the,2,0,"[ 5.0946646   4.4809647   1.3693497  ... -1.5338769   0.03381133
  5.4770994 ]",gpt2-small
1,George Washington fought in the,2,1,"[ 3.47521     4.534057    2.167735   ... -0.98196685 -0.55684906
  4.0071225 ]",gpt2-small
2,George Washington fought in the,2,2,[ 4.221662   3.8250492  1.9186126 ... -1.1614896 -1.1527776  3.6837375],gpt2-small
3,George Washington fought in the,2,3,"[ 3.2768736   2.48052     3.3351784  ... -0.82902145 -1.7730821
  4.500912  ]",gpt2-small
4,George Washington fought in the,2,4,[ 4.030273   4.638365   2.785419  ... -0.7914741 -1.1529291  4.730693 ],gpt2-small
5,George Washington fought in the,2,5,"[ 4.3751664   5.030308    1.4845822  ... -0.54094243 -0.14732164
  4.6825547 ]",gpt2-small
6,George Washington fought in the,2,6,[ 3.24652    4.3926973  1.2943382 ... -0.9807315 -0.7558844  3.5714433],gpt2-small
7,George Washington fought in the,2,7,"[ 4.6383524   4.917998    3.2233877  ... -1.2535263  -0.43960512
  3.973859  ]",gpt2-small
8,George Washington fought in the,2,8,[ 2.9328241  4.5037713  0.8777065 ... -2.3322725 -1.1585029  3.8172393],gpt2-small
9,George Washington fought in the,2,9,[ 3.9811177  4.7275915  3.8746667 ... -1.2014816  0.6318612  2.9554935],gpt2-small
10,George Washington fought in the,2,10,[ 2.8064952  2.516511   1.8092947 ...  1.1169283 -1.5441517  1.8629742],gpt2-small
11,George Washington fought in the,2,11,"[ 4.0798      4.283295    1.3843795  ... -1.1031513  -0.16237146
  4.8852205 ]",gpt2-small
0,George Washington fought in the,3,0,[ 4.132786   3.8367383  1.2229346 ... -1.5758678 -1.6321801  4.018682 ],gpt2-small
1,George Washington fought in the,3,1,"[ 3.1601975   3.0479066   2.0625627  ... -0.63362014 -1.0153314
  4.3374968 ]",gpt2-small
2,George Washington fought in the,3,2,[ 3.8772333  3.6509423  2.556982  ... -1.2265408 -0.7300158  4.7452292],gpt2-small
3,George Washington fought in the,3,3,[ 4.284238   4.2926636  1.803239  ... -0.6411952 -1.31619    4.97289  ],gpt2-small
4,George Washington fought in the,3,4,"[ 3.78485     5.104276    3.17826    ... -0.57206583  0.29328734
  4.495667  ]",gpt2-small
5,George Washington fought in the,3,5,"[ 3.66036     4.375881    2.2872186  ... -1.3826938  -0.60552484
  3.9592407 ]",gpt2-small
6,George Washington fought in the,3,6,"[ 4.1362095   4.6230707   2.9066951  ... -1.329601   -0.04715145
  3.996271  ]",gpt2-small
7,George Washington fought in the,3,7,"[ 4.288848    4.0042887   3.593394   ... -0.5233116  -0.77226156
  3.0376472 ]",gpt2-small
8,George Washington fought in the,3,8,[ 4.5958257  4.6197596  0.9417542 ... -1.6081879 -0.6779417  4.4710474],gpt2-small
9,George Washington fought in the,3,9,"[ 4.2646065   4.5084906   0.95467794 ... -1.3305708  -0.7842626
  4.620325  ]",gpt2-small
10,George Washington fought in the,3,10,[3.6587145  3.985776   1.4117461  ... 0.2085805  0.05856419 3.4700131 ],gpt2-small
11,George Washington fought in the,3,11,[ 3.7909665  3.9462562  1.1313343 ... -0.4153014 -1.0193357  4.5104094],gpt2-small
0,George Washington fought in the,4,0,[ 4.280843   4.341276   2.1128154 ... -2.2611918 -1.3229277  4.695176 ],gpt2-small
1,George Washington fought in the,4,1,"[ 4.2845745   4.383602    2.222413   ... -0.83462423 -0.7331519
  4.5830593 ]",gpt2-small
2,George Washington fought in the,4,2,"[ 3.7256756   4.084155    1.7951144  ... -0.81164455 -0.4969647
  4.117437  ]",gpt2-small
3,George Washington fought in the,4,3,"[ 4.3282604   4.8804216   2.1820183  ... -1.4615588  -0.76628435
  4.3544526 ]",gpt2-small
4,George Washington fought in the,4,4,"[ 4.4747486   4.0109954   1.8220221  ...  0.09900588 -1.2253319
  4.3172603 ]",gpt2-small
5,George Washington fought in the,4,5,"[ 3.447259    4.1091075   2.5340412  ... -0.4096886  -0.91086674
  4.0256267 ]",gpt2-small
6,George Washington fought in the,4,6,"[ 4.388486    4.269914    1.5128018  ... -1.2249975   0.08457893
  3.6897988 ]",gpt2-small
7,George Washington fought in the,4,7,"[ 1.8096719   3.516604    0.50308704 ... -0.8436966  -0.36212307
  3.728876  ]",gpt2-small
8,George Washington fought in the,4,8,"[ 3.8853652   4.094165    2.2303035  ... -0.34526634 -0.50899005
  4.021507  ]",gpt2-small
9,George Washington fought in the,4,9,"[ 3.17564     3.4347246   1.0546165  ... -1.4780922  -0.24311647
  3.7300928 ]",gpt2-small
10,George Washington fought in the,4,10,"[ 4.5510826   4.713879    2.348608   ... -0.7532355  -0.94603616
  4.3558645 ]",gpt2-small
11,George Washington fought in the,4,11,"[ 3.7707396   3.4452329   2.7124777  ...  0.19124126 -0.61166584
  3.3868823 ]",gpt2-small
0,George Washington fought in the,5,0,"[ 4.2372565   3.9696043   2.091311   ... -0.5977648  -0.71223986
  4.150523  ]",gpt2-small
1,George Washington fought in the,5,1,"[ 4.364198    4.6667037   2.5072207  ... -1.908909   -0.82739294
  4.1016283 ]",gpt2-small
2,George Washington fought in the,5,2,"[ 2.8349018   3.395631    2.1310759  ... -0.35594147  0.54066324
  4.3910766 ]",gpt2-small
3,George Washington fought in the,5,3,"[ 3.992494    4.252511    2.0796065  ... -1.4414172  -0.30470124
  4.0009747 ]",gpt2-small
4,George Washington fought in the,5,4,[ 4.0182824  4.4856052  1.7570131 ... -2.1385183 -1.015787   3.78971  ],gpt2-small
5,George Washington fought in the,5,5,[ 4.3331766  5.0066147  2.4167416 ... -1.93664   -1.4190526  4.082261 ],gpt2-small
6,George Washington fought in the,5,6,"[ 4.000268    4.2529297   2.0286462  ... -0.98721194 -1.0094445
  4.1479707 ]",gpt2-small
7,George Washington fought in the,5,7,"[ 5.326133    4.6997695   0.91444695 ... -1.2413192  -1.6427569
  5.518441  ]",gpt2-small
