,Unnamed: 0,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_if,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_than,ans_prob_obs_edit_subject_because,ans_prob_obs_edit_subject_while,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_since,ans_prob_obs_edit_subject_though,ans_prob_obs_edit_subject_after,ans_prob_obs_edit_subject_until,ans_prob_obs_edit_subject_whether,ans_prob_obs_edit_subject_before,ans_prob_obs_edit_subject_although,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_unless,ans_prob_obs_edit_subject_nor,ans_prob_obs_edit_subject_once,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_except,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_soon,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_rather,ans_prob_obs_edit_subject_and/or,ans_prob_obs_edit_subject_whereas,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_till,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_provided,ans_prob_obs_edit_subject_considering,ans_prob_obs_edit_subject_given
0,0,The country of citizenship of Jaap Speyer is,The country of citizenship of the director of Lilli's Marriage is,Jaap Speyer,the director of Lilli's Marriage, Dutch,0.008232928812503815,4.932623414788395e-05,1.0474597729626112e-05,1.722291563055478e-05,6.562731869053096e-05,1.57099129864946e-05,1.077677370631136e-05,2.655802200024482e-05,6.536950422741938e-06,2.0133933503529988e-05,2.5009927412611432e-05,5.7862376706907526e-05,2.9201308279880323e-05,5.677646186086349e-06,6.1290884332265705e-06,1.0150959496968426e-05,9.558552847011015e-06,0.00012561063340399414,0.0004522163944784552,0.0001306406338699162,1.9774408428929746e-05,0.0002090322959702462,0.00017553068755660206,7.174800703069195e-05,2.9652770535903983e-05,2.0290706288506044e-06,3.245540938223712e-05,8.485215221298859e-05,2.994503483932931e-05,9.850232891039923e-05,1.7000091247609816e-05,1.6239842807408422e-05,8.590188372181728e-06,7.249735062941909e-05,1.0918314501395798e-06,4.55497774964897e-06,3.3119144063675776e-05,3.1275128549168585e-06,6.966000364627689e-05,0.000224479561438784,5.878662705072202e-05,0.0001027068356052041
1,1,The place of birth of Dušan Hanák is,"The place of birth of the director of I Love, You Love is",Dušan Hanák,"the director of I Love, You Love", Bratislava,0.0008711694972589612,0.00025853849365375936,0.00019015550788026303,0.0001670394849497825,0.0001865884114522487,0.00012439049896784127,9.616724128136411e-05,0.0002570219512563199,9.848232002696022e-05,7.161348912632093e-05,0.00023122536367736757,0.00020732471602968872,0.0002199949958594516,0.0001289641368202865,0.000233955099247396,8.63823079271242e-05,0.00020122728892602026,4.9564227083465084e-05,8.177623385563493e-06,0.00022071112471166998,0.00010125587868969887,0.00013535370817407966,0.00016044804942794144,0.00011745619849534705,6.25637621851638e-05,0.00013097455666866153,6.69280780130066e-05,8.501912816427648e-05,5.32229314558208e-05,0.00011245277710258961,0.00022172510216478258,4.562240428640507e-05,0.0002585327310953289,6.783245771657676e-05,3.8655005482723936e-05,7.441453635692596e-05,7.854105206206441e-05,0.00015161867486312985,0.00015612633433192968,0.00011917180381715298,4.758192153531127e-05,0.00012004870950477198
2,2,The place of death of James Vincent is,The place of death of the director of Gold and the Woman is,James Vincent,the director of Gold and the Woman, New York,8.411989983869717e-05,0.0004912512376904488,0.0006271871388889849,0.0003212110896129161,0.0008278152090497315,0.00039770291186869144,0.0005512804491445422,0.0008132469956763089,0.00031575653702020645,0.00039750494761392474,0.0012783356942236423,0.0006584410439245403,0.00035149234463460743,0.0005951945786364377,0.0004962093662470579,0.0003998738247901201,0.0007315831608138978,0.00013069171109236777,9.343126293970272e-05,0.00039755052421242,0.00039136887062340975,0.001079461188055575,0.00018876172543969005,0.001192175899632275,0.00010571273742243648,0.0003365600423421711,0.00023701935424469411,0.00042725878302007914,0.0002043691638391465,0.00028909515822306275,0.0008712331764400005,0.00017251649114768952,0.00088085065362975,0.00027755554765462875,3.8862632209202275e-05,0.00041350562241859734,0.00026741556939668953,0.0001752876560203731,0.0002040927211055532,0.00015837619139347225,0.00012453331146389246,0.00023090360627975315
3,3,The place of birth of Emil Loteanu is,The place of birth of the director of Lăutarii is,Emil Loteanu,the director of Lăutarii, Romania,0.001990450546145439,0.0024354520719498396,0.0026515217032283545,0.0018061924492940307,0.0021141429897397757,0.0028714805375784636,0.0010673444485291839,0.0022980086505413055,0.0014967551687732339,0.0013412544503808022,0.0025524331722408533,0.00377239054068923,0.0013958083000034094,0.0012163575738668442,0.0020758688915520906,0.004543476738035679,0.0018951594829559326,0.000609488517511636,2.9507178624044172e-05,0.00143278983887285,0.003959990106523037,0.0034842188470065594,0.0006936397985555232,0.0028553325682878494,0.0017365614185109735,0.0012412597425282001,0.0021020357962697744,0.0032497209031134844,0.0019112465670332313,0.005035501439124346,0.0009390800842083991,0.00044194949441589415,0.0027347917202860117,0.0026372200809419155,2.2485946828965098e-05,0.0009826156310737133,0.0017331369454041123,0.0016695569502189755,0.003009754465892911,0.002730428474023938,0.0009123050258494914,0.0015066835330799222
4,4,The country of citizenship of Archduke Karl Salvator of Austria is,The country of citizenship of the father of Archduke Leopold Salvator of Austria is,Archduke Karl Salvator of Austria,the father of Archduke Leopold Salvator of Austria, Italian,0.0001276375405723229,0.0002599450235720724,0.0002653112751431763,0.0004333440156187862,0.00021200314222369343,0.0002147852792404592,0.00025545325479470193,0.00023184798192232847,0.00023906579008325934,0.00023917562793940306,0.00029563604039140046,0.0001789421366993338,0.00022189180890563875,0.00021202432981226593,0.00018231742433272302,0.0002257016603834927,0.00020024813420604914,0.00036666536470875144,0.0002723003854043782,0.00016928107652347535,0.0002725750091485679,0.00019072323630098253,0.0003410991339478642,0.00014014728367328644,0.00017827950068749487,0.00012530085223261267,0.00021500216098502278,0.00017110089538618922,0.00014274782733991742,0.00025805376935750246,0.0005752547294832766,0.00013865299115423113,0.00023674353724345565,9.559502359479666e-05,4.982496830052696e-05,0.00014698613085784018,0.00028788374038413167,0.00017198978457599878,0.00026189303025603294,0.00015596620505675673,0.00017218604625668377,0.0003072626132052392
5,5,The place of birth of Joseph Louis De Grasse is,The place of birth of the director of Father and the Boys is,Joseph Louis De Grasse,the director of Father and the Boys, New Brunswick,0.0023919674567878246,0.007725769653916359,0.005540706217288971,0.003654191270470619,0.0066732438281178474,0.004530787467956543,0.0026046258863061666,0.004532948601990938,0.002372527727857232,0.004511157516390085,0.005908681079745293,0.0075515275821089745,0.0028427205979824066,0.001999068306759,0.005470568779855967,0.0045558009296655655,0.004883263260126114,0.0009855926036834717,0.00024710316210985184,0.005040497984737158,0.004891161806881428,0.008193885907530785,0.0013371995883062482,0.004650916438549757,0.0011090486077591777,0.0012390540214255452,0.0027828176971524954,0.002433707704767585,0.0030643288046121597,0.004446444567292929,0.003433456178754568,0.0013030162081122398,0.004238842520862818,0.0031420199666172266,5.823484025313519e-05,0.0008735113660804927,0.004598258528858423,0.0013710993807762861,0.005831651855260134,0.0016277986578643322,0.0012234786991029978,0.0009182686917483807
6,6,The place of death of M. B. Sreenivasan is,The place of death of the composer of Onappudava is,M. B. Sreenivasan,the composer of Onappudava, Lakshadweep,5.075889475847362e-06,3.870691216434352e-05,8.051028999034315e-05,2.318978113180492e-05,3.03065844491357e-05,1.3046458661847282e-05,5.981756839901209e-05,0.00010852562263607979,1.9933506337110884e-05,8.95688481250545e-06,0.00014188443310558796,6.537129956996068e-05,3.0429735488723963e-05,5.519769183592871e-05,5.690530451829545e-05,2.403491635050159e-05,3.5425193345872685e-05,5.944881650066236e-06,7.985911452124128e-07,3.3471942515461706e-06,1.9511418940965086e-05,0.00015229982091113925,3.168724288116209e-05,5.0719885621219873e-05,2.9957441256556194e-06,3.9266073144972324e-05,3.4800150388036855e-06,3.0054468879825436e-05,1.8226890006189933e-06,0.00010729304631240666,0.0001291189546464011,1.9253609480074374e-06,0.00018757785437628627,2.1210660634096712e-05,2.482459785824176e-05,7.536241173511371e-05,6.801842118875356e-06,0.00029391387943178415,6.793096872570459e-06,2.826607442329987e-06,9.34905074245762e-06,0.00013139010115992278
7,7,The place of death of Zine El Abidine Ben Ali is,The place of death of the spouse of Naïma Ben Ali is,Zine El Abidine Ben Ali,the spouse of Naïma Ben Ali, Jeddah,2.735403541009873e-05,6.602785288123414e-05,9.718308137962595e-05,5.3081523219589144e-05,7.471704157069325e-05,3.117579035460949e-05,6.607022805837914e-05,0.00010222577839158475,8.048673043958843e-05,4.30897853220813e-05,0.00020407144620548934,0.00016727641923353076,8.331056596944109e-05,9.200161730404943e-05,0.0001043754382408224,4.071508374181576e-05,9.981265611713752e-05,2.9492062822100706e-05,1.8196589735453017e-05,6.493300315923989e-05,3.6499754060059786e-05,8.930212061386555e-05,8.955264638643712e-05,0.00010464205115567893,1.625618097023107e-05,4.2676165321609005e-05,2.2294620066531934e-05,6.128976383479312e-05,2.1193440261413343e-05,7.252432988025248e-05,0.00014210455992724746,4.0775223169475794e-05,0.0002988642081618309,5.657550354953855e-05,0.0003550183610059321,8.226008503697813e-05,3.580098564270884e-05,0.0005035168724134564,3.638714042608626e-05,2.129446147591807e-05,4.497450208873488e-05,0.0001209459951496683
8,8,The country of Charles University is,The country of the publisher of Prague Papers on the History of International Relations is,Charles University,the publisher of Prague Papers on the History of International Relations, Czech Republic,2.9115126380929723e-06,0.02449272759258747,0.024849295616149902,0.023702207952737808,0.042821723967790604,0.03786734864115715,0.045385945588350296,0.03627792373299599,0.043498169630765915,0.020084038376808167,0.03469736874103546,0.01722664013504982,0.02078631892800331,0.01076375599950552,0.0321231372654438,0.025971021503210068,0.028093276545405388,0.035965658724308014,0.04297885671257973,0.016867155209183693,0.052992817014455795,0.025582635775208473,0.018266525119543076,0.04064655676484108,0.046991996467113495,0.0006420176359824836,0.02659159153699875,0.011046743020415306,0.007737820968031883,0.022484226152300835,0.02132406458258629,0.029917577281594276,0.01701183244585991,0.041999250650405884,0.0002847806899808347,0.0006161699420772493,0.034623753279447556,0.004314909689128399,0.030869070440530777,0.059752386063337326,0.022918757051229477,0.045003145933151245
9,9,The employer of Éric Rohmer is,The employer of the director of Triple Agent is,Éric Rohmer,the director of Triple Agent, Cahiers du cinéma,2.517986672501138e-07,3.0784417504037265e-06,6.908759132784326e-06,3.7141151096875547e-06,3.868191470246529e-06,4.563879429042572e-06,5.515643351827748e-06,4.466346126719145e-06,2.208179921581177e-06,1.1930920891245478e-06,5.34529044671217e-06,3.3052399430744117e-06,3.573788944777334e-06,2.3079674065229483e-06,4.34656021752744e-06,3.408977363505983e-06,4.074847311130725e-06,5.4308934522850905e-06,2.410890601822757e-06,3.3718404210958397e-06,5.1100910241075326e-06,3.023199724339065e-06,7.019858003332047e-06,1.2978280210518278e-06,3.327027798150084e-06,1.5885879065535846e-06,6.046535645509721e-07,5.43069836567156e-06,2.18818513531005e-06,4.0330091906071175e-06,3.862113317154581e-06,4.098520548723172e-06,5.982141829008469e-06,4.754235760628944e-06,7.072919174788694e-07,6.1058417486492544e-06,4.2008241507573985e-06,4.310375061322702e-06,1.099214955502248e-06,2.1916259811405325e-06,2.729943616941455e-06,2.1679056771972682e-06
