,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_the,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_a,ans_prob_obs_edit_subject_of,ans_prob_obs_edit_subject_to,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_i,ans_prob_obs_edit_subject_you,ans_prob_obs_edit_subject_it,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_he,ans_prob_obs_edit_subject_with,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_this,ans_prob_obs_edit_subject_n't,ans_prob_obs_edit_subject_we,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_they,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_at,ans_prob_obs_edit_subject_what,ans_prob_obs_edit_subject_his,ans_prob_obs_edit_subject_from,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_by,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_she,ans_prob_obs_edit_subject_my,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_if
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.24717414379119873,0.06696479022502899,0.06112988665699959,0.044548723846673965,0.07144732028245926,0.06350214034318924,0.06119396537542343,0.06690150499343872,0.060809195041656494,0.05449216067790985,0.06459478288888931,0.05318469554185867,0.0612926110625267,0.06896769255399704,0.07201950997114182,0.05118260905146599,0.09633754938840866,0.0721837729215622,0.06393326818943024,0.04785851389169693,0.03658349812030792,0.07442951947450638,0.0617549754679203,0.05362992361187935,0.06700965762138367,0.047951940447092056,0.06000341847538948,0.06577332317829132,0.06979440152645111,0.08118116855621338,0.03415757790207863,0.047239627689123154,0.05073830112814903,0.051688335835933685,0.08821558952331543,0.04019381105899811,0.07787150144577026,0.06053809076547623,0.07119126617908478,0.053784869611263275
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0900239571928978,0.017389710992574692,0.01712024211883545,0.014481238089501858,0.01916510984301567,0.016422323882579803,0.015567292459309101,0.017095468938350677,0.019678693264722824,0.01729564554989338,0.016422607004642487,0.01815272867679596,0.011221625842154026,0.015610761009156704,0.019816020503640175,0.022274956107139587,0.02032516524195671,0.021739011630415916,0.019461773335933685,0.018964827060699463,0.023201458156108856,0.016374338418245316,0.016886083409190178,0.020334865897893906,0.020059166476130486,0.014840200543403625,0.015949273481965065,0.01360649336129427,0.013545903377234936,0.013056810945272446,0.015659645199775696,0.019779926165938377,0.014580953866243362,0.014272930100560188,0.0171827245503664,0.012143143452703953,0.0109295304864645,0.015947340056300163,0.009035412222146988,0.02142833173274994
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.05808047950267792,0.0371813140809536,0.03970148041844368,0.02965468168258667,0.029154198244214058,0.03582226485013962,0.025536490604281425,0.03554721549153328,0.027490416541695595,0.0495428629219532,0.03618859872221947,0.027051463723182678,0.026148011907935143,0.03942390903830528,0.03913973271846771,0.04098539799451828,0.02516341395676136,0.0422590970993042,0.031243206933140755,0.035358209162950516,0.04506053030490875,0.027567913755774498,0.03325740247964859,0.03548413887619972,0.03666599839925766,0.034113265573978424,0.02687692455947399,0.03369036689400673,0.03928939625620842,0.036494627594947815,0.03301672264933586,0.024774108082056046,0.025982165709137917,0.027878684923052788,0.017896883189678192,0.028159530833363533,0.02207266353070736,0.04049096256494522,0.026301588863134384,0.027789494022727013
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.5816777944564819,0.11867374181747437,0.08221825957298279,0.08710082620382309,0.10967285186052322,0.0837550163269043,0.10446974635124207,0.05426257103681564,0.05348438769578934,0.0820380225777626,0.08227912336587906,0.0701674148440361,0.09072946012020111,0.10421773791313171,0.1130809634923935,0.1041664108633995,0.11499707400798798,0.11126067489385605,0.07999996095895767,0.10030946880578995,0.07542301714420319,0.09433766454458237,0.05436374619603157,0.1002836525440216,0.06062230467796326,0.053334735333919525,0.04785710945725441,0.06853550672531128,0.1261274218559265,0.07126905024051666,0.12185421586036682,0.06793881952762604,0.047769978642463684,0.08045987784862518,0.07780217379331589,0.06775081157684326,0.0797303169965744,0.0956597626209259,0.10277484357357025,0.06173687055706978
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.5020728707313538,0.4732044041156769,0.4363238513469696,0.44649770855903625,0.4573988616466522,0.44713401794433594,0.4657069444656372,0.423993855714798,0.42393940687179565,0.42147505283355713,0.4586356282234192,0.43068310618400574,0.4960736334323883,0.4240052402019501,0.41396579146385193,0.395670622587204,0.46533656120300293,0.4520045518875122,0.42709603905677795,0.4097236394882202,0.40246596932411194,0.432451993227005,0.3534431755542755,0.36518406867980957,0.4431338906288147,0.4943886697292328,0.44493943452835083,0.39641332626342773,0.4842301309108734,0.4401494562625885,0.4355006814002991,0.48003968596458435,0.4758531153202057,0.44573330879211426,0.4773218631744385,0.39889228343963623,0.41586825251579285,0.4144667983055115,0.4427465796470642,0.4134170413017273
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.05934426933526993,0.01390092819929123,0.016743723303079605,0.020136453211307526,0.017270462587475777,0.013971001841127872,0.012731743045151234,0.019299082458019257,0.010607912205159664,0.01595393754541874,0.027927428483963013,0.015396015718579292,0.017782004550099373,0.017174480482935905,0.021160198375582695,0.012288226746022701,0.013763138093054295,0.01719529554247856,0.018087316304445267,0.022652754560112953,0.014256466180086136,0.015353962779045105,0.01756308041512966,0.015638822689652443,0.01914709247648716,0.02886848710477352,0.016583474352955818,0.01211608201265335,0.01232278160750866,0.011076393537223339,0.012738742865622044,0.013421382755041122,0.013637595809996128,0.02213236317038536,0.015184735879302025,0.010060954838991165,0.007958751171827316,0.014245131053030491,0.02033318765461445,0.015146777965128422
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.10881352424621582,0.006768414750695229,0.006551678758114576,0.004751314874738455,0.00622714776545763,0.006626997143030167,0.005070421379059553,0.0064842370338737965,0.006366794463247061,0.006086377426981926,0.004532442893832922,0.003682222682982683,0.005527148954570293,0.008002407848834991,0.004846984054893255,0.003906582482159138,0.003085516393184662,0.00653160410001874,0.005593693815171719,0.006844487972557545,0.005867309402674437,0.006864454131573439,0.005756622180342674,0.005059823393821716,0.005175124853849411,0.00909143965691328,0.007123589515686035,0.006030650809407234,0.00590237881988287,0.005690013524144888,0.0034327260218560696,0.0060534123331308365,0.0053197117522358894,0.005759199149906635,0.0040757241658866405,0.004672630690038204,0.005755421239882708,0.006253809668123722,0.004982520826160908,0.005144000519067049
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.04077146574854851,0.006737994495779276,0.008237716741859913,0.005455601029098034,0.006677297875285149,0.007426995784044266,0.005118283908814192,0.0065123154781758785,0.007187814451754093,0.009781829081475735,0.009284431114792824,0.009084547869861126,0.006664426531642675,0.008498375304043293,0.007101371884346008,0.008623944595456123,0.005313039757311344,0.0064891246147453785,0.007754282560199499,0.00934695452451706,0.008996357209980488,0.00817547831684351,0.00615655304864049,0.010098742321133614,0.010953234508633614,0.008016332983970642,0.00661697331815958,0.007349863648414612,0.007759274449199438,0.0060424357652664185,0.00495580118149519,0.006428210064768791,0.011213770136237144,0.00579021917656064,0.007094769272953272,0.009106085635721684,0.009548936039209366,0.009285400621592999,0.005651142448186874,0.006993246730417013
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.6805449724197388,0.27269548177719116,0.25265026092529297,0.1987609714269638,0.25478699803352356,0.14579927921295166,0.2229965627193451,0.26637211441993713,0.2185565084218979,0.14689360558986664,0.22462283074855804,0.15644167363643646,0.2145354300737381,0.1977364867925644,0.32563120126724243,0.2289271354675293,0.271514892578125,0.22975754737854004,0.13532713055610657,0.17033937573432922,0.2564835250377655,0.3425389230251312,0.2288290411233902,0.21344324946403503,0.19746999442577362,0.10389380902051926,0.19644491374492645,0.19734910130500793,0.28426769375801086,0.2760951817035675,0.28468987345695496,0.1607474535703659,0.1543591022491455,0.13868293166160583,0.21757176518440247,0.12923622131347656,0.32996702194213867,0.2090352475643158,0.15471787750720978,0.18933434784412384
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.18591775000095367,0.12079161405563354,0.08308883756399155,0.10308492928743362,0.08854322880506516,0.10278888791799545,0.11040320247411728,0.08187700808048248,0.10210706293582916,0.12119266390800476,0.11814356595277786,0.08766613155603409,0.12874174118041992,0.0986737459897995,0.10482421517372131,0.11033833771944046,0.10660794377326965,0.09482044726610184,0.13130398094654083,0.09169964492321014,0.06886962056159973,0.11871875077486038,0.08073841780424118,0.08682411909103394,0.11516409367322922,0.06778369098901749,0.12053147703409195,0.09328394383192062,0.09895689785480499,0.09143173694610596,0.0782698467373848,0.10994312167167664,0.09793393313884735,0.09390338510274887,0.1425931602716446,0.1030164361000061,0.10338050127029419,0.08817765861749649,0.09394103288650513,0.08303160220384598
