,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_the,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_a,ans_prob_obs_edit_subject_of,ans_prob_obs_edit_subject_to,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_i,ans_prob_obs_edit_subject_you,ans_prob_obs_edit_subject_it,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_he,ans_prob_obs_edit_subject_with,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_this,ans_prob_obs_edit_subject_n't,ans_prob_obs_edit_subject_we,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_they,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_at,ans_prob_obs_edit_subject_what,ans_prob_obs_edit_subject_his,ans_prob_obs_edit_subject_from,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_by,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_she,ans_prob_obs_edit_subject_my,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_if
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.23220454156398773,0.09932209551334381,0.05777283012866974,0.08029256761074066,0.07431192696094513,0.06546998023986816,0.05031359940767288,0.0597095862030983,0.05887875333428383,0.06972657889127731,0.07114273309707642,0.035507503896951675,0.13137291371822357,0.07314756512641907,0.07661930471658707,0.12011093646287918,0.09138797968626022,0.06699106842279434,0.0863436833024025,0.057646702975034714,0.029361875727772713,0.042715661227703094,0.08049075305461884,0.06688425689935684,0.08942603319883347,0.0590243898332119,0.042790722101926804,0.055197250097990036,0.08628109842538834,0.08715469390153885,0.09690674394369125,0.0644351914525032,0.057788826525211334,0.08901859819889069,0.08699086308479309,0.07634983956813812,0.04245720058679581,0.04543091356754303,0.10515816509723663,0.04362645000219345
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.8061018586158752,0.34523141384124756,0.24349825084209442,0.18816010653972626,0.33664754033088684,0.26220273971557617,0.319752961397171,0.3384116291999817,0.36490124464035034,0.32626423239707947,0.4753509759902954,0.41874971985816956,0.33465421199798584,0.2679658830165863,0.2003670185804367,0.40912479162216187,0.3243340253829956,0.3089018166065216,0.3047367334365845,0.2847149670124054,0.5165484547615051,0.25285103917121887,0.3669848144054413,0.48296481370925903,0.4931907653808594,0.383747935295105,0.3001374304294586,0.32969146966934204,0.22028227150440216,0.4106941223144531,0.3224017322063446,0.3987942337989807,0.23425908386707306,0.3398311138153076,0.3359186053276062,0.4017147719860077,0.2457924783229828,0.3156340420246124,0.21904344856739044,0.36236557364463806
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.22169145941734314,0.030902063474059105,0.03633274883031845,0.005529073532670736,0.035157158970832825,0.020676277577877045,0.028574956580996513,0.018604101613163948,0.0215486828237772,0.023917436599731445,0.012432961724698544,0.014845616184175014,0.03177833929657936,0.02212435007095337,0.026349790394306183,0.0468418262898922,0.024841630831360817,0.025496279820799828,0.02786993607878685,0.021501563489437103,0.010399505496025085,0.025503123179078102,0.02861221879720688,0.024391362443566322,0.031168153509497643,0.02483297325670719,0.02285541594028473,0.018140025436878204,0.019260210916399956,0.02513858862221241,0.014293977990746498,0.018775608390569687,0.028245797380805016,0.022806797176599503,0.02107274904847145,0.029021944850683212,0.014062125235795975,0.01770583540201187,0.015032491646707058,0.022959508001804352
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.9589110016822815,0.187300905585289,0.20512519776821136,0.07214152812957764,0.2117002308368683,0.05079847201704979,0.1050882488489151,0.10031626373529434,0.1076701357960701,0.018739711493253708,0.09307048469781876,0.06235954910516739,0.1216031163930893,0.12384793162345886,0.1602380871772766,0.06274872273206711,0.1208266019821167,0.2886672914028168,0.13234783709049225,0.12359141558408737,0.003675584914162755,0.22249694168567657,0.21405622363090515,0.18914258480072021,0.13721969723701477,0.07740499079227448,0.036165766417980194,0.20283634960651398,0.1230132207274437,0.2532038688659668,0.02999313361942768,0.2715051472187042,0.1127861961722374,0.11960286647081375,0.16930104792118073,0.06294640153646469,0.050400249660015106,0.0907469317317009,0.07743524014949799,0.10510421544313431
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.38803237676620483,0.382942795753479,0.39083048701286316,0.43609458208084106,0.38000062108039856,0.36000365018844604,0.40498054027557373,0.42706099152565,0.39970269799232483,0.38225120306015015,0.3910233974456787,0.3844864070415497,0.370172381401062,0.39057013392448425,0.38283395767211914,0.35855454206466675,0.4208027720451355,0.36980727314949036,0.39833804965019226,0.3823706805706024,0.47368451952934265,0.4236539900302887,0.3838733732700348,0.39135709404945374,0.3987196981906891,0.41017431020736694,0.42276179790496826,0.4083355963230133,0.35161861777305603,0.369453489780426,0.3368089199066162,0.37266480922698975,0.4137716293334961,0.29373303055763245,0.39452990889549255,0.3259928524494171,0.34146848320961,0.4218817949295044,0.3605765402317047,0.3637998700141907
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.00902332179248333,0.0018179152393713593,0.0019432676490396261,0.0016946499235928059,0.003979397471994162,0.0038714157417416573,0.0029320968315005302,0.002391299931332469,0.004697361029684544,0.004289786797016859,0.002913008676841855,0.0005919295363128185,0.004503711126744747,0.002584533067420125,0.001973903039470315,0.0011645505437627435,0.0012247789418324828,0.0033614966087043285,0.0020376250613480806,0.00560116209089756,0.03004145808517933,0.002106305444613099,0.001299104536883533,0.004233896266669035,0.0007481556385755539,0.00038911434239707887,0.004134078975766897,0.0027182570192962885,0.001707246177829802,0.0040532061830163,0.0019237145315855742,0.003704255213961005,0.007753984071314335,0.002214989857748151,0.0009910528315231204,0.004036113619804382,0.003316574264317751,0.0015047886408865452,0.0021422170102596283,0.0018152982229366899
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.7795689702033997,0.2031201869249344,0.16579444706439972,0.11925001442432404,0.22129757702350616,0.18498246371746063,0.18834590911865234,0.1897081583738327,0.21964938938617706,0.206266388297081,0.1201900839805603,0.16267026960849762,0.18605482578277588,0.14825980365276337,0.14721184968948364,0.12469446659088135,0.12000542879104614,0.1398109495639801,0.18283826112747192,0.1510193794965744,0.14953169226646423,0.1321292668581009,0.2057858258485794,0.19579829275608063,0.13278153538703918,0.10747373849153519,0.3401305377483368,0.12660251557826996,0.15563218295574188,0.14694584906101227,0.13135439157485962,0.20339982211589813,0.23221001029014587,0.13455802202224731,0.16168786585330963,0.11779364943504333,0.15362149477005005,0.18220913410186768,0.12596964836120605,0.12033487856388092
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.6753308773040771,0.02916082553565502,0.0436798632144928,0.01645745150744915,0.024196330457925797,0.027576588094234467,0.018652087077498436,0.04340807721018791,0.018495703116059303,0.030963420867919922,0.03493853658437729,0.019507551565766335,0.027148669585585594,0.037998948246240616,0.02479887381196022,0.02595563419163227,0.0121675506234169,0.027175482362508774,0.018301289528608322,0.03902601823210716,0.022512182593345642,0.014200503006577492,0.0329446867108345,0.02769811451435089,0.03428153693675995,0.030026283115148544,0.029131514951586723,0.028775155544281006,0.02921161986887455,0.025586768984794617,0.014123158529400826,0.016512008383870125,0.02488585002720356,0.0440896637737751,0.02571716532111168,0.016140025109052658,0.04008232429623604,0.02148619294166565,0.02984861098229885,0.019593942910432816
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.9983311295509338,0.9849100708961487,0.9804572463035583,0.9780398011207581,0.9780307412147522,0.988024890422821,0.971600353717804,0.9857286810874939,0.963678240776062,0.9885581731796265,0.986102819442749,0.9945607781410217,0.9909855127334595,0.9839931130409241,0.9930499792098999,0.9905118346214294,0.976646363735199,0.9755474925041199,0.9812785387039185,0.9895992279052734,0.9481744170188904,0.9849672913551331,0.9941670894622803,0.9796480536460876,0.9715349674224854,0.9791569709777832,0.9850623607635498,0.9874886870384216,0.988335132598877,0.9818003177642822,0.9706206917762756,0.9871655702590942,0.9197381734848022,0.9624712467193604,0.9766353368759155,0.9592376351356506,0.990797758102417,0.982774555683136,0.9960142374038696,0.9942368268966675
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.7671751976013184,0.7016316056251526,0.6864119172096252,0.7065865993499756,0.6973746418952942,0.6805869936943054,0.5646594762802124,0.6616525053977966,0.7405334115028381,0.7457679510116577,0.6237891316413879,0.7336134314537048,0.6926631331443787,0.7108262181282043,0.7133679986000061,0.5973077416419983,0.6054287552833557,0.7076696157455444,0.644694983959198,0.692770779132843,0.6067137718200684,0.6796088814735413,0.7047001719474792,0.6322423815727234,0.7589884996414185,0.5457041263580322,0.674346923828125,0.6249814033508301,0.6473177075386047,0.7547035217285156,0.6429486870765686,0.6434758901596069,0.6668251752853394,0.4650941789150238,0.6502403616905212,0.7063691020011902,0.5488083958625793,0.7011151909828186,0.6839268803596497,0.5747946500778198
10,The surface of the Earth is mostly covered in,The surface of the densest planet in the Solar System is mostly covered in,The surface of the Earth,The surface of the densest planet in the Solar System, water,0.37092772126197815,0.2099064141511917,0.23801808059215546,0.24821481108665466,0.22632133960723877,0.2503359317779541,0.1989801824092865,0.20250514149665833,0.19317281246185303,0.19593782722949982,0.20912441611289978,0.19042335450649261,0.19336843490600586,0.22494438290596008,0.19576875865459442,0.17834292352199554,0.3045182526111603,0.2094382643699646,0.1819027215242386,0.18923360109329224,0.2317781150341034,0.1732967644929886,0.25971218943595886,0.1882101595401764,0.19274719059467316,0.16310106217861176,0.27278396487236023,0.2525506019592285,0.1771542876958847,0.16587254405021667,0.3160669505596161,0.22740501165390015,0.16604557633399963,0.1971651166677475,0.21724089980125427,0.1915046125650406,0.1824948936700821,0.20629580318927765,0.30664435029029846,0.14820735156536102
11,Columbus' expedition led to the,The first spanish explorer to land in the Americas' expedition led to the,Columbus' expedition,The first spanish explorer to land in the Americas' expedition, discovery,0.6796416640281677,0.47560521960258484,0.5107101202011108,0.4093645215034485,0.4076174795627594,0.4770177900791168,0.3298426568508148,0.5880627632141113,0.48284777998924255,0.3915325999259949,0.5058406591415405,0.511006772518158,0.6065430641174316,0.44844281673431396,0.3792053461074829,0.4047004282474518,0.4071560800075531,0.5770636200904846,0.3765530586242676,0.5439868569374084,0.4906999468803406,0.42909717559814453,0.44764024019241333,0.36655348539352417,0.5854685306549072,0.6645677089691162,0.5574085712432861,0.38594546914100647,0.5280775427818298,0.4111567735671997,0.5259391069412231,0.29525622725486755,0.5092892646789551,0.6929904818534851,0.5072230100631714,0.2789497375488281,0.6080488562583923,0.5187461972236633,0.6014923453330994,0.5268784165382385
12,Royce Gracie was born in the country of,The first champion of the UFC was born in the country of,Royce Gracie,The first champion of the UFC, Brazil,0.23835952579975128,0.049206607043743134,0.04248906299471855,0.08181954175233841,0.08512452244758606,0.0792713612318039,0.09489712119102478,0.07167735695838928,0.09656256437301636,0.07420603185892105,0.06181499734520912,0.04061925783753395,0.07524309307336807,0.08126256614923477,0.06071055680513382,0.1689368188381195,0.03358791023492813,0.05912461504340172,0.05409494414925575,0.08364684879779816,0.05594879761338234,0.05117972567677498,0.08705519884824753,0.08000928163528442,0.03901539742946625,0.10360945016145706,0.08004720509052277,0.05550379678606987,0.027373705059289932,0.059445105493068695,0.07279444485902786,0.0685427188873291,0.08021458983421326,0.06410713493824005,0.030914463102817535,0.06421192735433578,0.05056103691458702,0.07032257318496704,0.11413760483264923,0.06570269912481308
13,Enzo Ferrari was a lover of the sport of,Henry Ford's competitor was a lover of the sport of,Enzo Ferrari,Henry Ford's competitor, racing,0.08223987370729446,0.07650554180145264,0.07508805394172668,0.05890468508005142,0.08520837128162384,0.11079581826925278,0.08278664201498032,0.09526447206735611,0.11103611439466476,0.12785844504833221,0.05250055342912674,0.08911118656396866,0.07500539720058441,0.05671936646103859,0.08052881062030792,0.06044444069266319,0.0675506591796875,0.090188167989254,0.12282694876194,0.05842515453696251,0.17298220098018646,0.10280944406986237,0.0765918493270874,0.09367271512746811,0.07128945738077164,0.08559779077768326,0.09818893671035767,0.06500492990016937,0.07553885877132416,0.07220790535211563,0.08039802312850952,0.09469389915466309,0.1387232393026352,0.06298602372407913,0.07284199446439743,0.09762363880872726,0.058987807482481,0.0813828781247139,0.1116754412651062,0.09587029367685318
14,California is the most,The bear flag state is the most,California,The bear flag state, populous,0.21317601203918457,0.08460123836994171,0.15666277706623077,0.1067143976688385,0.11559827625751495,0.12831492722034454,0.1626388430595398,0.10972730070352554,0.21804015338420868,0.11231156438589096,0.132881760597229,0.14698085188865662,0.09995310008525848,0.12826576828956604,0.06277657300233841,0.06512828916311264,0.12667733430862427,0.09458000957965851,0.13754165172576904,0.09823184460401535,0.123717300593853,0.0660778060555458,0.0361844040453434,0.11348335444927216,0.14021006226539612,0.0632089227437973,0.19791248440742493,0.07059842348098755,0.17205551266670227,0.06513874232769012,0.06610388308763504,0.11235272884368896,0.14771269261837006,0.06514378637075424,0.18110814690589905,0.0263166893273592,0.0969691351056099,0.12470723688602448,0.14027179777622223,0.04471270367503166
15,California is the most,The golden bear state is the most,California,The golden bear state, populous,0.21317601203918457,0.06684040278196335,0.09537553787231445,0.11812546104192734,0.13594752550125122,0.13682475686073303,0.10218598693609238,0.10421567410230637,0.14824184775352478,0.13246634602546692,0.09689516574144363,0.1259690672159195,0.05612865090370178,0.12037878483533859,0.07738152146339417,0.050098732113838196,0.08306577801704407,0.11235393583774567,0.1190834492444992,0.08756176382303238,0.12550942599773407,0.09098505228757858,0.08667062968015671,0.10382361710071564,0.0841137170791626,0.08535490930080414,0.1543496698141098,0.08437678962945938,0.09606822580099106,0.10506893694400787,0.0839741975069046,0.11170189082622528,0.12667778134346008,0.05325135961174965,0.09435024857521057,0.04436036944389343,0.0814002975821495,0.13014023005962372,0.08997578173875809,0.07651402056217194
16,Hillary Clinton was a candidate for,Bill Clinton's wife was a candidate for,Hillary Clinton,Bill Clinton's wife, president,0.5084292888641357,0.23879367113113403,0.1938031166791916,0.3050941228866577,0.23043867945671082,0.19011227786540985,0.2037622183561325,0.2110486626625061,0.24862299859523773,0.1777435541152954,0.2676580250263214,0.17691431939601898,0.20194491744041443,0.13111397624015808,0.2274366170167923,0.16171063482761383,0.16408713161945343,0.3052147328853607,0.23735249042510986,0.263910710811615,0.13016341626644135,0.3078739643096924,0.286145955324173,0.29095005989074707,0.18082204461097717,0.18152126669883728,0.2635890543460846,0.26040905714035034,0.12208934128284454,0.21693624556064606,0.2994858920574188,0.20676879584789276,0.2010669857263565,0.21497295796871185,0.23322731256484985,0.29741960763931274,0.14739878475666046,0.2819975018501282,0.21525602042675018,0.2530316114425659
