,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_other,ans_prob_obs_edit_subject_good,ans_prob_obs_edit_subject_new,ans_prob_obs_edit_subject_great,ans_prob_obs_edit_subject_big,ans_prob_obs_edit_subject_high,ans_prob_obs_edit_subject_old,ans_prob_obs_edit_subject_bad,ans_prob_obs_edit_subject_different,ans_prob_obs_edit_subject_american,ans_prob_obs_edit_subject_little,ans_prob_obs_edit_subject_sure,ans_prob_obs_edit_subject_small,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_large,ans_prob_obs_edit_subject_real,ans_prob_obs_edit_subject_best,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_young,ans_prob_obs_edit_subject_important,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_national,ans_prob_obs_edit_subject_black,ans_prob_obs_edit_subject_social,ans_prob_obs_edit_subject_able,ans_prob_obs_edit_subject_political,ans_prob_obs_edit_subject_public,ans_prob_obs_edit_subject_white,ans_prob_obs_edit_subject_better,ans_prob_obs_edit_subject_late,ans_prob_obs_edit_subject_free,ans_prob_obs_edit_subject_sorry,ans_prob_obs_edit_subject_low,ans_prob_obs_edit_subject_human,ans_prob_obs_edit_subject_TRUE,ans_prob_obs_edit_subject_whole,ans_prob_obs_edit_subject_easy,ans_prob_obs_edit_subject_hard,ans_prob_obs_edit_subject_early,ans_prob_obs_edit_subject_possible
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.23220454156398773,0.09932209551334381,0.0498913936316967,0.05927035212516785,0.052454546093940735,0.10617246478796005,0.04539985954761505,0.08777954429388046,0.09637249261140823,0.05251219496130943,0.15446002781391144,0.015137409791350365,0.05770445242524147,0.08938993513584137,0.09151613712310791,0.04367273300886154,0.06081944331526756,0.07100822031497955,0.027589300647377968,0.04104587808251381,0.07107391953468323,0.0661468431353569,0.06534139066934586,0.031078044325113297,0.13482195138931274,0.08381246775388718,0.12124922126531601,0.08022322505712509,0.039055392146110535,0.07134438306093216,0.09938637912273407,0.1823846995830536,0.09356246888637543,0.11235323548316956,0.0473143644630909,0.06611863523721695,0.007158476859331131,0.003839191747829318,0.08642597496509552,0.08596532046794891,0.13444988429546356,0.028660431504249573
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.8061018586158752,0.34523141384124756,0.13961873948574066,0.14292633533477783,0.33852800726890564,0.27308154106140137,0.3335047662258148,0.1654176414012909,0.16148251295089722,0.31372183561325073,0.3992863893508911,0.19487887620925903,0.46313875913619995,0.3140966296195984,0.38973498344421387,0.1497231274843216,0.43763428926467896,0.18005691468715668,0.2698163390159607,0.367475301027298,0.2523742914199829,0.2917633056640625,0.42470037937164307,0.5793556571006775,0.33292391896247864,0.2278134524822235,0.3644760847091675,0.6176262497901917,0.4087502062320709,0.5600018501281738,0.3279304802417755,0.16671419143676758,0.4102362394332886,0.6443496942520142,0.21976445615291595,0.2796522080898285,0.5398790240287781,0.2925111651420593,0.4274677038192749,0.4078417718410492,0.2915630042552948,0.3392550051212311
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.22169145941734314,0.030902063474059105,0.01620933786034584,0.012457561679184437,0.014671795070171356,0.057275742292404175,0.03835403174161911,0.025736302137374878,0.03264101594686508,0.01045152172446251,0.021105892956256866,0.016565728932619095,0.023440087214112282,0.015795202925801277,0.027363920584321022,0.031684163957834244,0.03646497800946236,0.039929695427417755,0.02427874132990837,0.018311407417058945,0.02714463323354721,0.04406290501356125,0.035469986498355865,0.031194955110549927,0.04488161578774452,0.0573703870177269,0.033830877393484116,0.05759308487176895,0.04904814809560776,0.046041570603847504,0.032138045877218246,0.026394527405500412,0.02650700882077217,0.031050536781549454,0.028061142191290855,0.03167080134153366,0.026000166311860085,0.017106950283050537,0.041365452110767365,0.022989880293607712,0.03227256238460541,0.022859226912260056
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.9589110016822815,0.187300905585289,0.14796480536460876,0.16518975794315338,0.10705232620239258,0.508142352104187,0.21702265739440918,0.13434216380119324,0.26977795362472534,0.11371496319770813,0.6274657249450684,0.01088840700685978,0.5327356457710266,0.0799788162112236,0.3175782859325409,0.18514218926429749,0.18559104204177856,0.14412719011306763,0.22769005596637726,0.018285075202584267,0.01628095842897892,0.2716570496559143,0.13140501081943512,0.1576615571975708,0.6039961576461792,0.22127701342105865,0.058993808925151825,0.09258367121219635,0.10434222221374512,0.11077812314033508,0.5416930913925171,0.23256441950798035,0.32463887333869934,0.47500643134117126,0.295682817697525,0.18882247805595398,0.07753673940896988,0.004267101176083088,0.23152466118335724,0.37491869926452637,0.2306416928768158,0.11302500218153
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.38803237676620483,0.382942795753479,0.4091774821281433,0.3631998300552368,0.4001103639602661,0.3641439974308014,0.33236536383628845,0.44573652744293213,0.39758923649787903,0.4516688585281372,0.3676443099975586,0.23317669332027435,0.2931739091873169,0.3835825026035309,0.34368661046028137,0.4259471893310547,0.4529109001159668,0.3948993682861328,0.33305415511131287,0.38853850960731506,0.3901824653148651,0.4251304566860199,0.4626687467098236,0.3263603746891022,0.32494834065437317,0.42719539999961853,0.4155621826648712,0.39173686504364014,0.3337003290653229,0.44185441732406616,0.30629104375839233,0.3631223142147064,0.4036613702774048,0.38845500349998474,0.3028738498687744,0.4207746386528015,0.30008363723754883,0.3461572825908661,0.26805973052978516,0.4585084319114685,0.4881226420402527,0.354261577129364
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.00902332179248333,0.0018179152393713593,0.0011445257114246488,0.00307378894649446,0.0028127972036600113,0.002381633035838604,0.0019411344546824694,0.0026627557817846537,0.003975995816290379,0.004559941124171019,0.005583744961768389,0.002976082032546401,0.0005395948537625372,0.0033127430360764265,0.006852969992905855,0.001516076852567494,0.0021755772177129984,0.0026680429000407457,0.004694774746894836,0.00416344590485096,0.005871371366083622,0.011479729786515236,0.0025577424094080925,0.0023351311683654785,0.00271478109061718,0.0009316537762060761,0.01583787240087986,0.0020240561570972204,0.004580829758197069,0.00220112525857985,0.006566344760358334,0.0011990985367447138,0.003820188110694289,0.0013290810165926814,0.0024314401671290398,0.002358372788876295,0.002260203007608652,0.012463257648050785,0.003302913159132004,0.006201575975865126,0.007903671823441982,0.011903159320354462
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.7795689702033997,0.2031201869249344,0.1415628343820572,0.07939669489860535,0.1408197283744812,0.13595053553581238,0.15366698801517487,0.1587192416191101,0.039856888353824615,0.14451463520526886,0.1394478976726532,0.07920841127634048,0.07225552946329117,0.1011568009853363,0.1085050031542778,0.15595656633377075,0.1414213627576828,0.1776142716407776,0.13280801475048065,0.05808422714471817,0.13457344472408295,0.09956861287355423,0.17081812024116516,0.17267721891403198,0.15069365501403809,0.1644338071346283,0.20118841528892517,0.0612812377512455,0.18276047706604004,0.148599311709404,0.07520175725221634,0.06071070581674576,0.24155783653259277,0.08434303849935532,0.12661464512348175,0.16214154660701752,0.021659130230545998,0.04639333859086037,0.09441644698381424,0.11675230413675308,0.18504464626312256,0.07788123935461044
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.6753308773040771,0.02916082553565502,0.013637618161737919,0.01609260030090809,0.014324904419481754,0.01868114247918129,0.022348346188664436,0.02276334911584854,0.014063258655369282,0.05454659461975098,0.02224300615489483,0.011489850468933582,0.03816506266593933,0.020613010972738266,0.023727046325802803,0.024605894461274147,0.01695176400244236,0.006120024714618921,0.01908731460571289,0.03916891664266586,0.033656101673841476,0.021492021158337593,0.03591536357998848,0.0544591061770916,0.01584262028336525,0.011448931880295277,0.014777874574065208,0.02196577750146389,0.02592899277806282,0.02117522992193699,0.0343078151345253,0.018026672303676605,0.022386450320482254,0.027980152517557144,0.010016377083957195,0.01639624312520027,0.010548573918640614,0.004940110724419355,0.04407350718975067,0.027424531057476997,0.025858737528324127,0.01725868321955204
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.9983311295509338,0.9849100708961487,0.9907333850860596,0.9662280082702637,0.989689826965332,0.9853294491767883,0.9810634851455688,0.9468317031860352,0.9733722805976868,0.8875904679298401,0.9911297559738159,0.7773118019104004,0.8796699047088623,0.9974800944328308,0.9764060378074646,0.9913747906684875,0.9791123867034912,0.987514317035675,0.9492421746253967,0.9922149777412415,0.8895354866981506,0.9693354964256287,0.9942663311958313,0.9824427366256714,0.9679151773452759,0.98201984167099,0.9700028300285339,0.8933440446853638,0.98203444480896,0.9846100807189941,0.9675058722496033,0.961707592010498,0.9753842353820801,0.9724380970001221,0.8094788193702698,0.9923378825187683,0.34550634026527405,0.7420345544815063,0.9585485458374023,0.9566469788551331,0.9809083938598633,0.9845890402793884
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.7671751976013184,0.7016316056251526,0.5583789348602295,0.5162275433540344,0.6270303726196289,0.6237126588821411,0.6282883882522583,0.6916953325271606,0.5566282868385315,0.48621371388435364,0.713738739490509,0.2644977867603302,0.4827350676059723,0.5231692790985107,0.6083554029464722,0.6569877862930298,0.5997493863105774,0.5922753810882568,0.6294293999671936,0.47800078988075256,0.6265502572059631,0.721430778503418,0.6481730937957764,0.47538086771965027,0.5310790538787842,0.74625563621521,0.6502104997634888,0.6049225330352783,0.6298232078552246,0.6588496565818787,0.5673133134841919,0.7172137498855591,0.7169064879417419,0.522232174873352,0.5907446146011353,0.6267276406288147,0.35916492342948914,0.265240877866745,0.6044275164604187,0.5995895266532898,0.6715282201766968,0.6864839792251587
