,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_time,ans_prob_obs_edit_subject_people,ans_prob_obs_edit_subject_year,ans_prob_obs_edit_subject_way,ans_prob_obs_edit_subject_thing,ans_prob_obs_edit_subject_man,ans_prob_obs_edit_subject_day,ans_prob_obs_edit_subject_life,ans_prob_obs_edit_subject_woman,ans_prob_obs_edit_subject_world,ans_prob_obs_edit_subject_child,ans_prob_obs_edit_subject_school,ans_prob_obs_edit_subject_state,ans_prob_obs_edit_subject_family,ans_prob_obs_edit_subject_president,ans_prob_obs_edit_subject_house,ans_prob_obs_edit_subject_student,ans_prob_obs_edit_subject_part,ans_prob_obs_edit_subject_place,ans_prob_obs_edit_subject_problem,ans_prob_obs_edit_subject_country,ans_prob_obs_edit_subject_week,ans_prob_obs_edit_subject_point,ans_prob_obs_edit_subject_hand,ans_prob_obs_edit_subject_group,ans_prob_obs_edit_subject_guy,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_question,ans_prob_obs_edit_subject_work,ans_prob_obs_edit_subject_night,ans_prob_obs_edit_subject_game,ans_prob_obs_edit_subject_number,ans_prob_obs_edit_subject_money,ans_prob_obs_edit_subject_lot,ans_prob_obs_edit_subject_book,ans_prob_obs_edit_subject_system,ans_prob_obs_edit_subject_government,ans_prob_obs_edit_subject_city,ans_prob_obs_edit_subject_company,ans_prob_obs_edit_subject_story
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.24717414379119873,0.06696479022502899,0.049763698130846024,0.059718940407037735,0.03927362710237503,0.04443607106804848,0.05373959243297577,0.06467481702566147,0.06446218490600586,0.05656572803854942,0.05608474463224411,0.03580888733267784,0.027252869680523872,0.034198831766843796,0.08423782140016556,0.07211047410964966,0.03800719976425171,0.055806972086429596,0.0935787707567215,0.04212549328804016,0.05666809156537056,0.06490879505872726,0.05057647451758385,0.04162456840276718,0.058499500155448914,0.06362972408533096,0.07244455814361572,0.04087959602475166,0.04051708057522774,0.05377545207738876,0.0724257081747055,0.04454072564840317,0.043447062373161316,0.05686916783452034,0.033742111176252365,0.055323343724012375,0.06244105473160744,0.05040892958641052,0.05517624318599701,0.037794437259435654,0.053998105227947235,0.04594237729907036
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0900239571928978,0.017389710992574692,0.01783166266977787,0.01449905801564455,0.012555984780192375,0.015064454637467861,0.016836509108543396,0.02146274596452713,0.014318712055683136,0.015218930318951607,0.017569735646247864,0.010551747865974903,0.014862875454127789,0.012188863940536976,0.010050767101347446,0.010606485418975353,0.03623099997639656,0.02725573256611824,0.014056258834898472,0.01451073493808508,0.011785587295889854,0.0172292347997427,0.008253904059529305,0.01938004046678543,0.011796637438237667,0.019387470558285713,0.01276600081473589,0.011044228449463844,0.013768160715699196,0.011271975934505463,0.04254935681819916,0.022589808329939842,0.016326451674103737,0.013323437422513962,0.01624223031103611,0.010147517547011375,0.0215748343616724,0.012488526292145252,0.03107977658510208,0.009385007433593273,0.008282332681119442,0.010487118735909462
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.05808047950267792,0.0371813140809536,0.038526974618434906,0.0313616618514061,0.021483732387423515,0.01725509576499462,0.02191225439310074,0.03181057050824165,0.029082614928483963,0.03564395383000374,0.02420344017446041,0.06902170181274414,0.025936322286725044,0.0212421752512455,0.03148482367396355,0.03316398710012436,0.033358894288539886,0.028714565560221672,0.019335540011525154,0.03744172304868698,0.026516512036323547,0.030767107382416725,0.025782745331525803,0.030901910737156868,0.020360741764307022,0.021440977230668068,0.03469768539071083,0.03741725534200668,0.02922550030052662,0.026645619422197342,0.02884732373058796,0.03272085636854172,0.04497084021568298,0.03387885540723801,0.03255905583500862,0.019465399906039238,0.028632843866944313,0.04930078983306885,0.03654292970895767,0.0271493811160326,0.0209832601249218,0.02336391992866993
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.5816777944564819,0.11867374181747437,0.08467741310596466,0.09395172446966171,0.05374215170741081,0.06798890978097916,0.03550806641578674,0.12960386276245117,0.05454016104340553,0.1338997781276703,0.11174742132425308,0.1309666633605957,0.07394025474786758,0.06793305277824402,0.1113247200846672,0.09554178267717361,0.03993561491370201,0.11158929020166397,0.07229802757501602,0.05325734615325928,0.0675974190235138,0.09733117371797562,0.12752769887447357,0.07338567823171616,0.10797804594039917,0.08601032942533493,0.0774298906326294,0.11484110355377197,0.06384584307670593,0.13285501301288605,0.0960463210940361,0.049206849187612534,0.11616264283657074,0.050499267876148224,0.15363867580890656,0.08513610810041428,0.07540787011384964,0.09421803802251816,0.07903967052698135,0.055795252323150635,0.0424635112285614,0.0904388427734375
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.5020728707313538,0.4732044041156769,0.42150166630744934,0.48791220784187317,0.47666406631469727,0.3876495659351349,0.31726762652397156,0.41755273938179016,0.4263467788696289,0.4510485529899597,0.47598886489868164,0.4677269458770752,0.4064338207244873,0.4304831326007843,0.36570456624031067,0.3653585612773895,0.444040983915329,0.4203861355781555,0.44139379262924194,0.48922380805015564,0.4144284129142761,0.4521524906158447,0.3986162543296814,0.42788389325141907,0.4563538432121277,0.4698465168476105,0.4139660894870758,0.5428910851478577,0.42036768794059753,0.441214382648468,0.41951069235801697,0.44374707341194153,0.4487840533256531,0.4576064348220825,0.4970760643482208,0.46072569489479065,0.46527451276779175,0.42885974049568176,0.42691877484321594,0.40204715728759766,0.41651061177253723,0.4452040195465088
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.05934426933526993,0.01390092819929123,0.014698111452162266,0.014858109876513481,0.018150022253394127,0.012786373496055603,0.02107325941324234,0.01228711660951376,0.019359832629561424,0.018126454204320908,0.0283670611679554,0.017980245873332024,0.02194245718419552,0.010906167328357697,0.01458753738552332,0.009500006213784218,0.02765568718314171,0.031340111047029495,0.015690188854932785,0.016126789152622223,0.01110206637531519,0.0171317458152771,0.01882972940802574,0.015942450612783432,0.016383172944188118,0.018190449103713036,0.009175634942948818,0.015630463138222694,0.03435713052749634,0.018085895106196404,0.016882769763469696,0.01786796748638153,0.014808385632932186,0.016795972362160683,0.01979689672589302,0.00832728948444128,0.014860906638205051,0.014625802636146545,0.012655219994485378,0.017674097791314125,0.018847668543457985,0.01270696334540844
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.10881352424621582,0.006768414750695229,0.005690318066626787,0.0062270741909742355,0.005149960517883301,0.010332038626074791,0.009516390040516853,0.0073302192613482475,0.004625385161489248,0.008738644421100616,0.004881613422185183,0.01196379866451025,0.004703346639871597,0.0031270526815205812,0.004711624700576067,0.004128793720155954,0.009205028414726257,0.00636183051392436,0.0027654198929667473,0.005535084754228592,0.004634033422917128,0.004873430822044611,0.00528675364330411,0.006697588600218296,0.009390875697135925,0.004926529712975025,0.004826555959880352,0.005137735046446323,0.006882994435727596,0.006004315335303545,0.004145874176174402,0.00466189906001091,0.006192740052938461,0.006712490692734718,0.013247541151940823,0.006970779038965702,0.006163112353533506,0.004241872578859329,0.010061725974082947,0.005723833572119474,0.007907823659479618,0.005615414120256901
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.04077146574854851,0.006737994495779276,0.00552391679957509,0.005681401118636131,0.006602233275771141,0.0057846843264997005,0.006905234418809414,0.006896706763654947,0.0062020570039749146,0.006845701951533556,0.00611213268712163,0.006576534826308489,0.0036114321555942297,0.00609982293099165,0.007930168882012367,0.006464012432843447,0.010623730719089508,0.004488373640924692,0.005719724111258984,0.006123141385614872,0.004449702333658934,0.006827893666923046,0.005270680412650108,0.006354947108775377,0.009409431368112564,0.004564383532851934,0.005920856725424528,0.005842257756739855,0.0052166711539030075,0.007191691547632217,0.0062727248296141624,0.003319212468340993,0.00671975826844573,0.006803257390856743,0.010186709463596344,0.007026263512670994,0.007975446060299873,0.005305721890181303,0.01185012049973011,0.005587735213339329,0.005607597064226866,0.007113728206604719
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.6805449724197388,0.27269548177719116,0.3399668335914612,0.15788014233112335,0.3328389525413513,0.18492744863033295,0.16149382293224335,0.2381504327058792,0.23075568675994873,0.2902483344078064,0.1370319128036499,0.37315842509269714,0.17379885911941528,0.24630631506443024,0.2669266164302826,0.24861858785152435,0.2528723180294037,0.14763523638248444,0.2504631578922272,0.16279488801956177,0.15928184986114502,0.2361392229795456,0.190769225358963,0.1988869160413742,0.10365961492061615,0.1293536126613617,0.18594354391098022,0.1787409633398056,0.20381848514080048,0.08466948568820953,0.3470306396484375,0.328286349773407,0.2524406611919403,0.19803115725517273,0.23402127623558044,0.24703435599803925,0.2021106630563736,0.2596304416656494,0.2762511670589447,0.2756030261516571,0.2915436923503876,0.2283068746328354
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.18591775000095367,0.12079161405563354,0.09198173880577087,0.060833774507045746,0.09745542705059052,0.11115918308496475,0.11499232053756714,0.08165740966796875,0.09592688083648682,0.09164110571146011,0.11501328647136688,0.09479011595249176,0.06331264227628708,0.10266529023647308,0.08630242943763733,0.08952462673187256,0.1058155968785286,0.12914274632930756,0.09101057797670364,0.12174441665410995,0.10508115589618683,0.11708208918571472,0.05301959440112114,0.07131274044513702,0.09829716384410858,0.1282900720834732,0.1206243485212326,0.1350553333759308,0.09144537895917892,0.10925407707691193,0.09120062738656998,0.06923724710941315,0.11327803879976273,0.10160833597183228,0.14998793601989746,0.08457504212856293,0.06240619346499443,0.1258806586265564,0.07693006098270416,0.13491876423358917,0.14052967727184296,0.11299426108598709
