,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_will,ans_prob_obs_edit_subject_would,ans_prob_obs_edit_subject_make,ans_prob_obs_edit_subject_think,ans_prob_obs_edit_subject_see,ans_prob_obs_edit_subject_come,ans_prob_obs_edit_subject_take,ans_prob_obs_edit_subject_want,ans_prob_obs_edit_subject_could,ans_prob_obs_edit_subject_look,ans_prob_obs_edit_subject_use,ans_prob_obs_edit_subject_tell,ans_prob_obs_edit_subject_find,ans_prob_obs_edit_subject_give,ans_prob_obs_edit_subject_need,ans_prob_obs_edit_subject_should,ans_prob_obs_edit_subject_work,ans_prob_obs_edit_subject_try,ans_prob_obs_edit_subject_let,ans_prob_obs_edit_subject_call,ans_prob_obs_edit_subject_may,ans_prob_obs_edit_subject_mean,ans_prob_obs_edit_subject_feel,ans_prob_obs_edit_subject_ask,ans_prob_obs_edit_subject_talk,ans_prob_obs_edit_subject_keep,ans_prob_obs_edit_subject_leave,ans_prob_obs_edit_subject_put,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_help,ans_prob_obs_edit_subject_start,ans_prob_obs_edit_subject_become
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.24717414379119873,0.06696479022502899,0.044548723846673965,0.0612926110625267,0.05118260905146599,0.047951940447092056,0.03415757790207863,0.051688335835933685,0.07787150144577026,0.07119126617908478,0.07698910683393478,0.05871888995170593,0.04510068520903587,0.05700448527932167,0.04390134662389755,0.045796800404787064,0.03817396238446236,0.07902706414461136,0.06895219534635544,0.04646987095475197,0.057379718869924545,0.0582713820040226,0.05203261971473694,0.03573405370116234,0.06568845361471176,0.05457170307636261,0.0724257081747055,0.03540218994021416,0.06334128975868225,0.0398578867316246,0.058718156069517136,0.04971911385655403,0.09207811951637268,0.03182367980480194,0.04359915852546692,0.047927748411893845,0.03636341169476509,0.02994351089000702,0.060723982751369476,0.044485267251729965,0.04031490162014961,0.028860466554760933
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0900239571928978,0.017389710992574692,0.014481238089501858,0.011221625842154026,0.022274956107139587,0.014840200543403625,0.015659645199775696,0.014272930100560188,0.0109295304864645,0.009035412222146988,0.013539151288568974,0.013145522214472294,0.016073141247034073,0.013802142813801765,0.01340081263333559,0.014248067513108253,0.028547264635562897,0.006543578114360571,0.011978110298514366,0.020304040983319283,0.017843319103121758,0.014347652904689312,0.013845874927937984,0.02011720836162567,0.01394767314195633,0.021591007709503174,0.04254935681819916,0.010658065788447857,0.023394132032990456,0.019774744287133217,0.011040819808840752,0.01811491884291172,0.008997307159006596,0.019337236881256104,0.011040142737329006,0.020876631140708923,0.011488755233585835,0.02523515187203884,0.015767525881528854,0.026929374784231186,0.01436840184032917,0.01817305199801922
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.05808047950267792,0.0371813140809536,0.02965468168258667,0.026148011907935143,0.04098539799451828,0.034113265573978424,0.03301672264933586,0.027878684923052788,0.02207266353070736,0.026301588863134384,0.037220291793346405,0.031482938677072525,0.03650858253240585,0.04185645282268524,0.03561563789844513,0.03818175941705704,0.03400196135044098,0.014839337207376957,0.03311251848936081,0.028571082279086113,0.03308791294693947,0.034991610795259476,0.04191286116838455,0.04108728840947151,0.02560729719698429,0.0442432202398777,0.02884732373058796,0.02407790906727314,0.02273724228143692,0.049416858702898026,0.035384953022003174,0.04356099292635918,0.02867950312793255,0.02025727368891239,0.039555639028549194,0.031258922070264816,0.04212099313735962,0.0329548679292202,0.03665779531002045,0.026211919263005257,0.033103425055742264,0.01970924437046051
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.5816777944564819,0.11867374181747437,0.08710082620382309,0.09072946012020111,0.1041664108633995,0.053334735333919525,0.12185421586036682,0.08045987784862518,0.0797303169965744,0.10277484357357025,0.08822471648454666,0.08324707299470901,0.12648709118366241,0.18062224984169006,0.06738556176424026,0.10082506388425827,0.07822465151548386,0.06568242609500885,0.06995944678783417,0.04731433838605881,0.08746417611837387,0.061186060309410095,0.13215558230876923,0.12463798373937607,0.10142138600349426,0.07855138182640076,0.0960463210940361,0.08518768101930618,0.048709165304899216,0.0931907370686531,0.07278217375278473,0.08090849220752716,0.0633537769317627,0.11142268031835556,0.061454109847545624,0.06505861133337021,0.08618239313364029,0.11823168396949768,0.0963575467467308,0.09778876602649689,0.07215555757284164,0.04819025099277496
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.5020728707313538,0.4732044041156769,0.44649770855903625,0.4960736334323883,0.395670622587204,0.4943886697292328,0.4355006814002991,0.44573330879211426,0.41586825251579285,0.4427465796470642,0.46752965450286865,0.45796963572502136,0.46003904938697815,0.48795199394226074,0.3828427791595459,0.4238959848880768,0.44136476516723633,0.4418066143989563,0.4531649947166443,0.4239187240600586,0.44048571586608887,0.4762694537639618,0.36636486649513245,0.5111749172210693,0.4070160984992981,0.471187949180603,0.41951069235801697,0.40299540758132935,0.44667354226112366,0.4424298405647278,0.3951423466205597,0.47736701369285583,0.42166146636009216,0.4771522283554077,0.4024604856967926,0.44879910349845886,0.4516516923904419,0.4286502003669739,0.45132678747177124,0.427577942609787,0.4252139925956726,0.34301459789276123
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.05934426933526993,0.01390092819929123,0.020136453211307526,0.017782004550099373,0.012288226746022701,0.02886848710477352,0.012738742865622044,0.02213236317038536,0.007958751171827316,0.02033318765461445,0.016952209174633026,0.01742761768400669,0.025843869894742966,0.014110642485320568,0.022785941138863564,0.02719206176698208,0.02181980013847351,0.008223865181207657,0.014267290942370892,0.03351820260286331,0.008138065226376057,0.02810359187424183,0.016814574599266052,0.031872231513261795,0.01795326918363571,0.023657742887735367,0.016882769763469696,0.02678343839943409,0.011774144135415554,0.010852833278477192,0.013152283616364002,0.034141574054956436,0.014777781441807747,0.020401977002620697,0.012924294918775558,0.02766338177025318,0.012468124739825726,0.04138282313942909,0.015927212312817574,0.014567455276846886,0.01350354589521885,0.022354573011398315
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.10881352424621582,0.006768414750695229,0.004751314874738455,0.005527148954570293,0.003906582482159138,0.00909143965691328,0.0034327260218560696,0.005759199149906635,0.005755421239882708,0.004982520826160908,0.005361448973417282,0.008663414977490902,0.005260386038571596,0.005253210198134184,0.003991004079580307,0.008647963404655457,0.01118603814393282,0.006849115714430809,0.008191355504095554,0.004341576714068651,0.00503247044980526,0.0028698670212179422,0.004240614827722311,0.004954774864017963,0.004971353802829981,0.009135999716818333,0.004145874176174402,0.003077351488173008,0.005745269823819399,0.005835555028170347,0.007163116242736578,0.007200703956186771,0.004391698632389307,0.0034069481771439314,0.004689810797572136,0.005954215303063393,0.005948673002421856,0.007559275720268488,0.006835664622485638,0.009875881485641003,0.00690304534509778,0.004725019913166761
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.04077146574854851,0.006737994495779276,0.005455601029098034,0.006664426531642675,0.008623944595456123,0.008016332983970642,0.00495580118149519,0.00579021917656064,0.009548936039209366,0.005651142448186874,0.005859963595867157,0.010966027155518532,0.007315814960747957,0.010854274965822697,0.00828173104673624,0.005834903102368116,0.008221633732318878,0.006531252525746822,0.010435592383146286,0.00679863290861249,0.00974288396537304,0.005040539428591728,0.007088256999850273,0.008799610659480095,0.00725130457431078,0.00692377332597971,0.0062727248296141624,0.004704365506768227,0.004467271734029055,0.005665824748575687,0.010006329044699669,0.006097991950809956,0.00511378888040781,0.004887446295469999,0.0035717268474400043,0.007714741863310337,0.006441059987992048,0.014765153639018536,0.005738747771829367,0.010535717010498047,0.005100867711007595,0.008735264651477337
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.6805449724197388,0.27269548177719116,0.1987609714269638,0.2145354300737381,0.2289271354675293,0.10389380902051926,0.28468987345695496,0.13868293166160583,0.32996702194213867,0.15471787750720978,0.25238892436027527,0.34620699286460876,0.22445914149284363,0.31009697914123535,0.21408599615097046,0.17526423931121826,0.17808961868286133,0.2710217237472534,0.41435185074806213,0.3157323896884918,0.17313805222511292,0.20425760746002197,0.1457858830690384,0.20291639864444733,0.2710205912590027,0.3420068621635437,0.3470306396484375,0.2099151611328125,0.15888720750808716,0.20732098817825317,0.1613607257604599,0.22825968265533447,0.20947806537151337,0.21385923027992249,0.12285328656435013,0.1454589068889618,0.12980681657791138,0.08146171271800995,0.2850472927093506,0.1431378275156021,0.1693260818719864,0.08368321508169174
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.18591775000095367,0.12079161405563354,0.10308492928743362,0.12874174118041992,0.11033833771944046,0.06778369098901749,0.0782698467373848,0.09390338510274887,0.10338050127029419,0.09394103288650513,0.13714194297790527,0.11197458952665329,0.09628791362047195,0.08841140568256378,0.11083431541919708,0.12194567173719406,0.08176077157258987,0.09882720559835434,0.1262403279542923,0.10813295096158981,0.14567746222019196,0.09975243359804153,0.08379620313644409,0.10427509248256683,0.16563744843006134,0.057617831975221634,0.09120062738656998,0.13019661605358124,0.15303485095500946,0.11888455599546432,0.11341657489538193,0.06450538337230682,0.10898690670728683,0.06728263199329376,0.11036290973424911,0.15405111014842987,0.14069817960262299,0.11765851825475693,0.10996459424495697,0.12371933460235596,0.10903847962617874,0.11399132758378983
