,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_if,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_than,ans_prob_obs_edit_subject_because,ans_prob_obs_edit_subject_while,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_since,ans_prob_obs_edit_subject_though,ans_prob_obs_edit_subject_after,ans_prob_obs_edit_subject_until,ans_prob_obs_edit_subject_whether,ans_prob_obs_edit_subject_before,ans_prob_obs_edit_subject_although,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_unless,ans_prob_obs_edit_subject_nor,ans_prob_obs_edit_subject_once,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_except,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_soon,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_rather,ans_prob_obs_edit_subject_and/or,ans_prob_obs_edit_subject_whereas,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_till,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_provided,ans_prob_obs_edit_subject_considering,ans_prob_obs_edit_subject_given
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.24717414379119873,0.06696479022502899,0.07009606063365936,0.10476275533437729,0.08710988610982895,0.06987021118402481,0.07248862087726593,0.06640248745679855,0.054566532373428345,0.02830321528017521,0.07251264899969101,0.14714431762695312,0.08165937662124634,0.04174508899450302,0.06196150556206703,0.10732118040323257,0.03732061758637428,0.05027896910905838,0.12874864041805267,0.04151547700166702,0.09258035570383072,0.03909993916749954,0.06703643500804901,0.07542409002780914,0.08981683850288391,0.10621826350688934,0.08025199919939041,0.06739480793476105,0.026557113975286484,0.06389062106609344,0.08605432510375977,0.02811046503484249,0.058451417833566666,0.08987879753112793,0.010534952394664288,0.034024279564619064,0.07677123695611954,0.02952912636101246,0.022337475791573524,0.03306283801794052,0.020787734538316727,0.03832747042179108
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0900239571928978,0.017389710992574692,0.02886269986629486,0.014984509907662868,0.031379327178001404,0.02036735601723194,0.02103477157652378,0.031194427981972694,0.03357214108109474,0.004737879149615765,0.014669367112219334,0.018403341993689537,0.02149302326142788,0.019562838599085808,0.012361953034996986,0.019317276775836945,0.026277700439095497,0.044815924018621445,0.007006736937910318,0.014104211702942848,0.019685450941324234,0.01931416615843773,0.014421498402953148,0.02929893508553505,0.010724895633757114,0.012634786777198315,0.013033649884164333,0.0306682325899601,0.012313416227698326,0.011816561222076416,0.035982098430395126,0.006912781856954098,0.02438495121896267,0.009506132453680038,0.019745778292417526,0.013179910369217396,0.024499837309122086,0.03855917230248451,0.022699931636452675,0.03261595219373703,0.011036324314773083,0.02905367501080036
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.05808047950267792,0.0371813140809536,0.024078527465462685,0.032402154058218,0.0267826896160841,0.02129223383963108,0.03353751078248024,0.023473933339118958,0.03432927280664444,0.024618428200483322,0.028906216844916344,0.02236655168235302,0.05295761302113533,0.030751070007681847,0.014180947095155716,0.030650749802589417,0.01856239326298237,0.026742665097117424,0.05648244172334671,0.025977829471230507,0.03431214392185211,0.03137215971946716,0.028575044125318527,0.05115766450762749,0.008930082432925701,0.030093157663941383,0.043889861553907394,0.06359189748764038,0.0063210707157850266,0.007283075246959925,0.04011614993214607,0.012053276412189007,0.01995932124555111,0.03483406826853752,0.01630348525941372,0.03186763450503349,0.030644625425338745,0.009655995294451714,0.02623826451599598,0.04795356094837189,0.014727798290550709,0.034897029399871826
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.5816777944564819,0.11867374181747437,0.0948275700211525,0.10371829569339752,0.08729320019483566,0.05666506290435791,0.09888266772031784,0.06502730399370193,0.07951612770557404,0.021771693602204323,0.11636169999837875,0.07154757529497147,0.11837794631719589,0.09800317883491516,0.15928718447685242,0.08057646453380585,0.016130996868014336,0.033415887504816055,0.08046932518482208,0.02011343091726303,0.05914103612303734,0.02553257718682289,0.1014372780919075,0.11501001566648483,0.03765811026096344,0.0552854910492897,0.11832523345947266,0.13537801802158356,0.012906516902148724,0.06075245887041092,0.1448163539171219,0.006198987364768982,0.058599263429641724,0.06290638446807861,0.02398531138896942,0.042846161872148514,0.0171287190169096,0.01771692931652069,0.0347292423248291,0.05759444087743759,0.062235888093709946,0.27516117691993713
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.5020728707313538,0.4732044041156769,0.3978213369846344,0.36442533135414124,0.2581210136413574,0.4409937262535095,0.3637285828590393,0.29021385312080383,0.32618021965026855,0.4556826949119568,0.42221787571907043,0.4140871465206146,0.3013753890991211,0.3650132715702057,0.38713353872299194,0.3678593337535858,0.3075891435146332,0.3886110484600067,0.33548274636268616,0.30936843156814575,0.3563539385795593,0.32608115673065186,0.39760062098503113,0.37616732716560364,0.23571133613586426,0.4287353754043579,0.3064836263656616,0.3234521150588989,0.27892133593559265,0.32446473836898804,0.3523942530155182,0.23218443989753723,0.3532573878765106,0.4175022542476654,0.16751611232757568,0.24244846403598785,0.20634675025939941,0.1795317679643631,0.36256471276283264,0.41669735312461853,0.2434515357017517,0.3273930847644806
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.05934426933526993,0.01390092819929123,0.023176850751042366,0.015347590669989586,0.009103954769670963,0.011100390926003456,0.00996568612754345,0.012724037282168865,0.021946074441075325,0.03400925546884537,0.004159243777394295,0.020812690258026123,0.030494412407279015,0.006938138045370579,0.011617603711783886,0.008224249817430973,0.011900479905307293,0.0233019832521677,0.01312702801078558,0.011196224950253963,0.006667140871286392,0.020999882370233536,0.01396858599036932,0.023501180112361908,0.02767312526702881,0.006270913872867823,0.008274879306554794,0.012039842084050179,0.006041897926479578,0.01536235399544239,0.02862173691391945,0.013309708796441555,0.009206262417137623,0.01258870493620634,0.007836500182747841,0.004529223777353764,0.014919962733983994,0.02817898616194725,0.058929283171892166,0.015698082745075226,0.02671157568693161,0.009558618068695068
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.10881352424621582,0.006768414750695229,0.005894823465496302,0.007623262703418732,0.0033457446843385696,0.007845191285014153,0.005843214225023985,0.005690651945769787,0.0031242959666997194,0.012510382570326328,0.0056534577161073685,0.0037275017239153385,0.0035463329404592514,0.004266340285539627,0.0036786552518606186,0.003844102378934622,0.00452400790527463,0.0036301540676504374,0.013804534450173378,0.005978867411613464,0.004103743936866522,0.008705079555511475,0.006384844891726971,0.006284790579229593,0.005537573713809252,0.0022663420531898737,0.0038866980466991663,0.004150828812271357,0.00724994670599699,0.006091997493058443,0.003223439445719123,0.00530290836468339,0.006669959053397179,0.0047935787588357925,0.010369856841862202,0.003482178086414933,0.006855942774564028,0.004436650779098272,0.0038738008588552475,0.009201772511005402,0.002626175293698907,0.004890124779194593
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.04077146574854851,0.006737994495779276,0.004732294473797083,0.007313958369195461,0.009221208281815052,0.0045847524888813496,0.01002043392509222,0.0051341974176466465,0.00666036456823349,0.0045079332776367664,0.009890491142868996,0.004242015071213245,0.005905844271183014,0.00589831592515111,0.005252859089523554,0.0055898940190672874,0.007870922796428204,0.004693915136158466,0.006212547887116671,0.006331760436296463,0.006341987755149603,0.004980520345270634,0.004578432533890009,0.0031398627907037735,0.0037936922162771225,0.0026341495104134083,0.003299193223938346,0.0024934429675340652,0.0091774957254529,0.009777985513210297,0.005094779655337334,0.0029450173024088144,0.004717329051345587,0.003995019942522049,0.0026855331379920244,0.007501288782805204,0.004531790968030691,0.004571958910673857,0.003153682453557849,0.007280945777893066,0.0024797064252197742,0.0035985640715807676
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.6805449724197388,0.27269548177719116,0.17246247828006744,0.19292932748794556,0.14852629601955414,0.09812784940004349,0.12448135763406754,0.1419992446899414,0.34306013584136963,0.1444208174943924,0.09487811475992203,0.1462448090314865,0.1696765422821045,0.18881548941135406,0.08052939176559448,0.3869132101535797,0.25835248827934265,0.17446868121623993,0.1295793354511261,0.16119220852851868,0.45333540439605713,0.3428969085216522,0.28589755296707153,0.277048796415329,0.19898229837417603,0.3537966012954712,0.21053446829319,0.2849547863006592,0.1211041584610939,0.06931960582733154,0.3458018898963928,0.24075546860694885,0.16996465623378754,0.22345376014709473,0.015738701447844505,0.06385979801416397,0.17687787115573883,0.04319874197244644,0.18138612806797028,0.18060997128486633,0.133933886885643,0.10736533254384995
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.18591775000095367,0.12079161405563354,0.0547420009970665,0.07140970975160599,0.05381147935986519,0.07263801991939545,0.06114785000681877,0.05078696832060814,0.07760074734687805,0.11677683889865875,0.07800067961215973,0.06395718455314636,0.06811007112264633,0.02896084077656269,0.11816185712814331,0.08463403582572937,0.07598767429590225,0.09275069832801819,0.05900997668504715,0.05583960562944412,0.09640038013458252,0.061042819172143936,0.08481638133525848,0.06499437242746353,0.09266673773527145,0.11485981196165085,0.07497691363096237,0.06561287492513657,0.06386398524045944,0.10585649311542511,0.0692887231707573,0.0645776242017746,0.0616740956902504,0.1287219077348709,0.006404045503586531,0.013650860637426376,0.037913743406534195,0.04603215679526329,0.05613230541348457,0.08699450641870499,0.02964533492922783,0.07754173874855042
