,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_just,ans_prob_obs_edit_subject_up,ans_prob_obs_edit_subject_out,ans_prob_obs_edit_subject_how,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_here,ans_prob_obs_edit_subject_then,ans_prob_obs_edit_subject_more,ans_prob_obs_edit_subject_well,ans_prob_obs_edit_subject_also,ans_prob_obs_edit_subject_very,ans_prob_obs_edit_subject_back,ans_prob_obs_edit_subject_there,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_really,ans_prob_obs_edit_subject_why,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_down,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_too,ans_prob_obs_edit_subject_still,ans_prob_obs_edit_subject_never,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_all,ans_prob_obs_edit_subject_most,ans_prob_obs_edit_subject_over,ans_prob_obs_edit_subject_again,ans_prob_obs_edit_subject_always,ans_prob_obs_edit_subject_off,ans_prob_obs_edit_subject_about,ans_prob_obs_edit_subject_today,ans_prob_obs_edit_subject_ever,ans_prob_obs_edit_subject_maybe,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_away
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.23220454156398773,0.09932209551334381,0.10214769095182419,0.08807361871004105,0.045405708253383636,0.056971702724695206,0.04216478765010834,0.03587597608566284,0.053490374237298965,0.05595732107758522,0.04341960698366165,0.12507043778896332,0.11813872307538986,0.08943551033735275,0.09300548583269119,0.04327423498034477,0.08902431279420853,0.06534139066934586,0.11181700974702835,0.10189813375473022,0.04367273300886154,0.06672068685293198,0.0863436833024025,0.07826755940914154,0.05724344402551651,0.06362414360046387,0.05887875333428383,0.08709807693958282,0.04543091356754303,0.06290103495121002,0.07452971488237381,0.061899345368146896,0.06720636785030365,0.053714506328105927,0.12133846431970596,0.08804633468389511,0.047882724553346634,0.06704474985599518,0.08564966917037964,0.1675102859735489,0.11348997801542282,0.03935649245977402
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.8061018586158752,0.34523141384124756,0.29367369413375854,0.284946471452713,0.28991562128067017,0.23646280169487,0.41924065351486206,0.41019582748413086,0.23818843066692352,0.47167128324508667,0.15261995792388916,0.47785043716430664,0.3008016347885132,0.2105993628501892,0.2118188738822937,0.39109665155410767,0.36828678846359253,0.42470037937164307,0.38258206844329834,0.27811673283576965,0.1497231274843216,0.3944881856441498,0.3047367334365845,0.1484237164258957,0.2524564862251282,0.21273186802864075,0.36490124464035034,0.4362230598926544,0.3156340420246124,0.3207651972770691,0.18489396572113037,0.22880809009075165,0.15937510132789612,0.25347790122032166,0.7611126899719238,0.3258117735385895,0.291513592004776,0.1159428134560585,0.408901184797287,0.4590702950954437,0.13043968379497528,0.2040082961320877
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.22169145941734314,0.030902063474059105,0.021669402718544006,0.01629522629082203,0.012145919725298882,0.014593285508453846,0.011043857783079147,0.035089872777462006,0.015148693695664406,0.025908907875418663,0.012803190387785435,0.035195186734199524,0.030126646161079407,0.018406111747026443,0.013596893288195133,0.038750432431697845,0.021182293072342873,0.035469986498355865,0.017964927479624748,0.04521124064922333,0.031684163957834244,0.030445830896496773,0.02786993607878685,0.014314673840999603,0.020570170134305954,0.03018070012331009,0.0215486828237772,0.03250619396567345,0.01770583540201187,0.027585135772824287,0.02352096512913704,0.04424261674284935,0.03404877707362175,0.028155114501714706,0.047408077865839005,0.013480210676789284,0.013302846811711788,0.054215941578149796,0.023175600916147232,0.03788168355822563,0.00981955137103796,0.034911006689071655
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.9589110016822815,0.187300905585289,0.3444674611091614,0.09837706387042999,0.07149825990200043,0.31253132224082947,0.06906359642744064,0.42961475253105164,0.0814000591635704,0.3189470171928406,0.2127295285463333,0.07779191434383392,0.3913469612598419,0.09239199757575989,0.20871025323867798,0.3411219120025635,0.2224583774805069,0.13140501081943512,0.19727985560894012,0.30898451805114746,0.18514218926429749,0.4286671578884125,0.13234783709049225,0.0653846487402916,0.12657341361045837,0.17569144070148468,0.1076701357960701,0.39063721895217896,0.0907469317317009,0.2163340300321579,0.16662196815013885,0.19132360816001892,0.5127788186073303,0.3661973178386688,0.29584741592407227,0.5673642158508301,0.19140256941318512,0.10403992980718613,0.0848187804222107,0.5598068833351135,0.11443394422531128,0.04601128399372101
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.38803237676620483,0.382942795753479,0.41953474283218384,0.36847496032714844,0.39551401138305664,0.4196978807449341,0.35949480533599854,0.41878560185432434,0.34613221883773804,0.3815460503101349,0.43662092089653015,0.4200139343738556,0.36246687173843384,0.37292611598968506,0.45815715193748474,0.3437250852584839,0.4047512710094452,0.4626687467098236,0.36106568574905396,0.42708808183670044,0.4259471893310547,0.38609033823013306,0.39833804965019226,0.4025008976459503,0.36226120591163635,0.3618059456348419,0.39970269799232483,0.3864150643348694,0.4218817949295044,0.46231260895729065,0.418499618768692,0.45856428146362305,0.44809529185295105,0.3829925060272217,0.3981368839740753,0.4397049844264984,0.3711716830730438,0.3903306722640991,0.4071955680847168,0.3260665237903595,0.365675687789917,0.4321267902851105
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.00902332179248333,0.0018179152393713593,0.0032573372591286898,0.0011791152646765113,0.0072754682041704655,0.001509424182586372,0.0029484808910638094,0.002512098755687475,0.006640286650508642,0.003168149385601282,0.0035374441649764776,0.0005956013919785619,0.002266623778268695,0.002839617431163788,0.004826455842703581,0.004386548884212971,0.0016659434186294675,0.0025577424094080925,0.0021949773654341698,0.0023796875029802322,0.001516076852567494,0.006792460568249226,0.0020376250613480806,0.004724414553493261,0.001531078014522791,0.0026833389420062304,0.004697361029684544,0.0023040275555104017,0.0015047886408865452,0.00558101013302803,0.0018637437606230378,0.001036850269883871,0.003345214994624257,0.006864213850349188,0.0025224382989108562,0.0018390152836218476,0.004231915809214115,0.0005972869694232941,0.003338058013468981,0.003544297069311142,0.0018199020996689796,0.0021248983684927225
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.7795689702033997,0.2031201869249344,0.09490921348333359,0.1518457978963852,0.14889663457870483,0.13779829442501068,0.10616563260555267,0.10800415277481079,0.13959409296512604,0.13422468304634094,0.2699511647224426,0.10477942228317261,0.24273109436035156,0.1454726904630661,0.11421643942594528,0.16929805278778076,0.1142180934548378,0.17081812024116516,0.09326496720314026,0.10094596445560455,0.15595656633377075,0.11920088529586792,0.18283826112747192,0.08092998713254929,0.08151549100875854,0.13865011930465698,0.21964938938617706,0.09797877818346024,0.18220913410186768,0.27418288588523865,0.1641749143600464,0.15392962098121643,0.11220351606607437,0.16185402870178223,0.13585162162780762,0.1197211891412735,0.09432081133127213,0.0463990680873394,0.07811442762613297,0.14983071386814117,0.12939880788326263,0.23253966867923737
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.6753308773040771,0.02916082553565502,0.02142687514424324,0.03658140450716019,0.018080106005072594,0.017590828239917755,0.015817590057849884,0.023842651396989822,0.015600900165736675,0.03178388625383377,0.03319115936756134,0.019618559628725052,0.051467396318912506,0.021129915490746498,0.02153676562011242,0.03580367565155029,0.021123355254530907,0.03591536357998848,0.01737055554986,0.025029074400663376,0.024605894461274147,0.01690967194736004,0.018301289528608322,0.029156606644392014,0.025287825614213943,0.02807656303048134,0.018495703116059303,0.02696719393134117,0.02148619294166565,0.02696182206273079,0.021032027900218964,0.02198576182126999,0.01720261201262474,0.043051090091466904,0.023756766691803932,0.012403365224599838,0.0475449301302433,0.02813362143933773,0.015503429807722569,0.01736035943031311,0.026663396507501602,0.016258982941508293
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.9983311295509338,0.9849100708961487,0.9691693782806396,0.9762309193611145,0.9383427500724792,0.9624969959259033,0.9019659161567688,0.983977735042572,0.9727325439453125,0.9906529188156128,0.9727238416671753,0.9774898886680603,0.9878320097923279,0.9876480102539062,0.9496423602104187,0.9918871521949768,0.9796819686889648,0.9942663311958313,0.9776008129119873,0.9852467775344849,0.9913747906684875,0.971458375453949,0.9812785387039185,0.9476277232170105,0.994236171245575,0.9912161827087402,0.963678240776062,0.9883551597595215,0.982774555683136,0.9922401905059814,0.9525937438011169,0.9662929177284241,0.961286723613739,0.9231250286102295,0.9883326888084412,0.9431113004684448,0.9800870418548584,0.96062833070755,0.9756941795349121,0.9788029789924622,0.9700887799263,0.9705482721328735
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.7671751976013184,0.7016316056251526,0.7524608373641968,0.6419914364814758,0.6239452362060547,0.5672569274902344,0.5463263988494873,0.4831394851207733,0.6480915546417236,0.6752456426620483,0.6884667873382568,0.5077662467956543,0.7205945253372192,0.6787511110305786,0.6382274627685547,0.6927812695503235,0.6581072807312012,0.6481730937957764,0.6486009955406189,0.6708183288574219,0.6569877862930298,0.6520194411277771,0.644694983959198,0.5150959491729736,0.5587107539176941,0.5803019404411316,0.7405334115028381,0.7203366160392761,0.7011151909828186,0.6807722449302673,0.5700808167457581,0.7283938527107239,0.6642247438430786,0.6702681183815002,0.7166322469711304,0.5610973238945007,0.5825572609901428,0.5597028732299805,0.47657692432403564,0.6629776358604431,0.6108207702636719,0.5723443031311035
