,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_other,ans_prob_obs_edit_subject_good,ans_prob_obs_edit_subject_new,ans_prob_obs_edit_subject_great,ans_prob_obs_edit_subject_big,ans_prob_obs_edit_subject_high,ans_prob_obs_edit_subject_old,ans_prob_obs_edit_subject_bad,ans_prob_obs_edit_subject_different,ans_prob_obs_edit_subject_american,ans_prob_obs_edit_subject_little,ans_prob_obs_edit_subject_sure,ans_prob_obs_edit_subject_small,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_large,ans_prob_obs_edit_subject_real,ans_prob_obs_edit_subject_best,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_young,ans_prob_obs_edit_subject_important,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_national,ans_prob_obs_edit_subject_black,ans_prob_obs_edit_subject_social,ans_prob_obs_edit_subject_able,ans_prob_obs_edit_subject_political,ans_prob_obs_edit_subject_public,ans_prob_obs_edit_subject_white,ans_prob_obs_edit_subject_better,ans_prob_obs_edit_subject_late,ans_prob_obs_edit_subject_free,ans_prob_obs_edit_subject_sorry,ans_prob_obs_edit_subject_low,ans_prob_obs_edit_subject_human,ans_prob_obs_edit_subject_TRUE,ans_prob_obs_edit_subject_whole,ans_prob_obs_edit_subject_easy,ans_prob_obs_edit_subject_hard,ans_prob_obs_edit_subject_early,ans_prob_obs_edit_subject_possible
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.24717414379119873,0.06696479022502899,0.061447322368621826,0.07333461195230484,0.0504596084356308,0.08225876837968826,0.06930647790431976,0.0507868267595768,0.057291071861982346,0.05319390445947647,0.0402492880821228,0.0385727733373642,0.06034353747963905,0.06942780315876007,0.07234960049390793,0.08716806769371033,0.09824313223361969,0.05081719160079956,0.04933438077569008,0.07707379758358002,0.0454004630446434,0.06948256492614746,0.05945846065878868,0.054348174482584,0.0614643357694149,0.05618890002369881,0.08633924275636673,0.06386028975248337,0.03219939395785332,0.07480961084365845,0.05762263759970665,0.05999711900949478,0.05817191302776337,0.054473601281642914,0.033142298460006714,0.05394340306520462,0.054022613912820816,0.03354181349277496,0.08960024267435074,0.08720385283231735,0.08095482736825943,0.062155961990356445
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0900239571928978,0.017389710992574692,0.012930343858897686,0.013339094817638397,0.01515196356922388,0.01205685455352068,0.014164824038743973,0.01619131676852703,0.015580518171191216,0.011264819651842117,0.00798636581748724,0.007049815263599157,0.016759023070335388,0.010346297174692154,0.009310254827141762,0.020705346018075943,0.010078341700136662,0.015277055092155933,0.013445109128952026,0.014393288642168045,0.011344825848937035,0.012617595493793488,0.01824447698891163,0.013020281679928303,0.029806073755025864,0.010184605605900288,0.01616130955517292,0.020343473181128502,0.025567488744854927,0.031395312398672104,0.011330675333738327,0.011171657592058182,0.01491398736834526,0.014826319180428982,0.01273340918123722,0.0166651401668787,0.008519085124135017,0.027347011491656303,0.013071659952402115,0.014117713086307049,0.01476535014808178,0.009928246960043907
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.05808047950267792,0.0371813140809536,0.03205219656229019,0.03141789510846138,0.023263229057192802,0.07216644287109375,0.03921310976147652,0.01676001027226448,0.018724827095866203,0.045280471444129944,0.034672025591135025,0.02544512040913105,0.031208818778395653,0.027989542111754417,0.026867549866437912,0.03611195459961891,0.041300736367702484,0.03305496647953987,0.02553793229162693,0.03663792461156845,0.02218761295080185,0.04247897490859032,0.04294966161251068,0.022640202194452286,0.03312119096517563,0.053550031036138535,0.03948001563549042,0.030432451516389847,0.039642829447984695,0.02300918661057949,0.032055314630270004,0.032579317688941956,0.043020494282245636,0.04661933705210686,0.016862649470567703,0.05001043155789375,0.019972506910562515,0.014727264642715454,0.03527859225869179,0.04784354194998741,0.06194223463535309,0.020235072821378708
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.5816777944564819,0.11867374181747437,0.09268442541360855,0.10049425065517426,0.06606707721948624,0.18808318674564362,0.11437172442674637,0.14883697032928467,0.0791732519865036,0.09648847579956055,0.0762033611536026,0.0555451326072216,0.08915594965219498,0.18903246521949768,0.06185299530625343,0.07857675850391388,0.1128903329372406,0.09162335097789764,0.10363538563251495,0.11699528992176056,0.06333184242248535,0.07289508730173111,0.11007437855005264,0.05881631001830101,0.06699826568365097,0.09467922151088715,0.06351371109485626,0.0614297017455101,0.10149069875478745,0.05369746685028076,0.13247039914131165,0.04634832963347435,0.10002987831830978,0.1517571210861206,0.0800120010972023,0.11504176259040833,0.022506842389702797,0.05306841805577278,0.04695458337664604,0.08119318634271622,0.0800153911113739,0.027984265238046646
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.5020728707313538,0.4732044041156769,0.4068198502063751,0.4067741930484772,0.39528515934944153,0.38666173815727234,0.40993985533714294,0.3910461366176605,0.4487323462963104,0.42522430419921875,0.48860692977905273,0.38400641083717346,0.39417213201522827,0.362993448972702,0.4220775365829468,0.469856858253479,0.40333670377731323,0.4800851345062256,0.4165613055229187,0.3930678963661194,0.44776400923728943,0.46565696597099304,0.4508167505264282,0.4220845103263855,0.4546014964580536,0.41048234701156616,0.3911464810371399,0.42925527691841125,0.37478360533714294,0.47494518756866455,0.48215416073799133,0.3594297766685486,0.44651857018470764,0.4380955100059509,0.49080565571784973,0.48211759328842163,0.30518031120300293,0.3970758616924286,0.37657204270362854,0.5234716534614563,0.4357699751853943,0.37782129645347595
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.05934426933526993,0.01390092819929123,0.016190296038985252,0.017665764316916466,0.018075091764330864,0.01525831874459982,0.01138210203498602,0.014913374558091164,0.01262873224914074,0.009367359802126884,0.01222650520503521,0.010869479738175869,0.014804880134761333,0.013366740196943283,0.013780374079942703,0.020381173118948936,0.008912760764360428,0.02040509693324566,0.015261552296578884,0.007863705977797508,0.011693724431097507,0.021722016856074333,0.021888449788093567,0.01080294419080019,0.012887360528111458,0.008343943394720554,0.021089501678943634,0.009865851141512394,0.026033001020550728,0.018191859126091003,0.02627505175769329,0.009834266267716885,0.014658862724900246,0.015513093210756779,0.018502701073884964,0.016642825677990913,0.01938176527619362,0.02234848402440548,0.0173779483884573,0.009557632729411125,0.013346285559237003,0.006327603943645954
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.10881352424621582,0.006768414750695229,0.005737920291721821,0.005658258218318224,0.0054281726479530334,0.004907974041998386,0.007100005634129047,0.006499842740595341,0.0033764352556318045,0.005352003499865532,0.005662407260388136,0.008218994364142418,0.004065954592078924,0.004894984886050224,0.004565575160086155,0.006026780232787132,0.005293481983244419,0.010791190899908543,0.005448032170534134,0.004865975584834814,0.003649078542366624,0.0073146698996424675,0.007451137527823448,0.006164949387311935,0.008305991068482399,0.006125067360699177,0.00947392638772726,0.005334020126610994,0.006127864122390747,0.009686249308288097,0.007936677895486355,0.0038671051152050495,0.005379780195653439,0.00801803357899189,0.007403964176774025,0.009876116178929806,0.003404767019674182,0.004112869966775179,0.006451982073485851,0.005786696914583445,0.002420393517240882,0.005649802275002003
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.04077146574854851,0.006737994495779276,0.0049535664729774,0.00608479231595993,0.006469852291047573,0.005506236106157303,0.010702504776418209,0.008106585592031479,0.005703098606318235,0.007272044196724892,0.006136097013950348,0.010727598331868649,0.004735791124403477,0.006996524520218372,0.007218922022730112,0.008318498730659485,0.007196610793471336,0.005463939625769854,0.005505878943949938,0.005170783493667841,0.006914122961461544,0.008180984295904636,0.008905220776796341,0.006463104393333197,0.006197589915245771,0.006163951940834522,0.005841922014951706,0.009444811381399632,0.006288142874836922,0.007601012941449881,0.005029518157243729,0.006526645738631487,0.0049170078709721565,0.011112905107438564,0.0034768308978527784,0.007347725797444582,0.004357100930064917,0.0031581532675772905,0.0074510532431304455,0.011230953969061375,0.005555810872465372,0.007407680153846741
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.6805449724197388,0.27269548177719116,0.11719177663326263,0.1559385061264038,0.21068871021270752,0.21613210439682007,0.08888525515794754,0.2902018129825592,0.11574966460466385,0.13514044880867004,0.07044512778520584,0.09053651243448257,0.2689305543899536,0.28037017583847046,0.1662607342004776,0.34147271513938904,0.19587655365467072,0.4167025685310364,0.19547000527381897,0.1999567151069641,0.14143183827400208,0.15622232854366302,0.12866094708442688,0.3389887511730194,0.26655974984169006,0.13395006954669952,0.17582674324512482,0.1901082843542099,0.2721581757068634,0.25364893674850464,0.2229287177324295,0.1413060426712036,0.16305388510227203,0.2043578326702118,0.17575177550315857,0.2573380470275879,0.1554289013147354,0.15401336550712585,0.2360205352306366,0.17000427842140198,0.1626342386007309,0.2849224805831909
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.18591775000095367,0.12079161405563354,0.09444806724786758,0.14090004563331604,0.09249567240476608,0.08459693193435669,0.0802897959947586,0.06346884369850159,0.10592684149742126,0.09239289164543152,0.09885594248771667,0.10188650339841843,0.12067243456840515,0.11835116147994995,0.12079913914203644,0.14398130774497986,0.133201003074646,0.08467814326286316,0.08653265982866287,0.09279479086399078,0.105514295399189,0.14415620267391205,0.1466214507818222,0.06761671602725983,0.10051269829273224,0.1106228306889534,0.09802829474210739,0.11071175336837769,0.09389740973711014,0.0886058658361435,0.08448639512062073,0.126028373837471,0.10790514200925827,0.1053181141614914,0.09485182166099548,0.10254981368780136,0.10023370385169983,0.1077084094285965,0.11940287053585052,0.1266261339187622,0.12618713080883026,0.12579572200775146
