,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_will,ans_prob_obs_edit_subject_would,ans_prob_obs_edit_subject_make,ans_prob_obs_edit_subject_think,ans_prob_obs_edit_subject_see,ans_prob_obs_edit_subject_come,ans_prob_obs_edit_subject_take,ans_prob_obs_edit_subject_want,ans_prob_obs_edit_subject_could,ans_prob_obs_edit_subject_look,ans_prob_obs_edit_subject_use,ans_prob_obs_edit_subject_tell,ans_prob_obs_edit_subject_find,ans_prob_obs_edit_subject_give,ans_prob_obs_edit_subject_need,ans_prob_obs_edit_subject_should,ans_prob_obs_edit_subject_work,ans_prob_obs_edit_subject_try,ans_prob_obs_edit_subject_let,ans_prob_obs_edit_subject_call,ans_prob_obs_edit_subject_may,ans_prob_obs_edit_subject_mean,ans_prob_obs_edit_subject_feel,ans_prob_obs_edit_subject_ask,ans_prob_obs_edit_subject_talk,ans_prob_obs_edit_subject_keep,ans_prob_obs_edit_subject_leave,ans_prob_obs_edit_subject_put,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_help,ans_prob_obs_edit_subject_start,ans_prob_obs_edit_subject_become
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.23220454156398773,0.09932209551334381,0.08029256761074066,0.13137291371822357,0.12011093646287918,0.0590243898332119,0.09690674394369125,0.08901859819889069,0.04245720058679581,0.10515816509723663,0.07974107563495636,0.07009878009557724,0.12525105476379395,0.09812924265861511,0.0739385113120079,0.08258648961782455,0.05328977853059769,0.0816355049610138,0.09642738848924637,0.07208166271448135,0.0824001133441925,0.0513475239276886,0.11268509179353714,0.18330539762973785,0.047260042279958725,0.10262689739465714,0.12822040915489197,0.08078691363334656,0.03517177700996399,0.08454699069261551,0.10699260979890823,0.11765314638614655,0.05760979279875755,0.06242302060127258,0.0835740715265274,0.10514793545007706,0.05704611539840698,0.03844837099313736,0.09627893567085266,0.10526213049888611,0.13239873945713043,0.041797228157520294
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.8061018586158752,0.34523141384124756,0.18816010653972626,0.33465421199798584,0.40912479162216187,0.383747935295105,0.3224017322063446,0.3398311138153076,0.2457924783229828,0.21904344856739044,0.2718331813812256,0.305477499961853,0.49390190839767456,0.2591696083545685,0.2834738492965698,0.30181026458740234,0.335394024848938,0.17324420809745789,0.15740281343460083,0.47884196043014526,0.44055283069610596,0.17863261699676514,0.29759901762008667,0.3496769964694977,0.28741809725761414,0.34601274132728577,0.3716485798358917,0.19411465525627136,0.2325746864080429,0.4890340268611908,0.24291004240512848,0.18214838206768036,0.22354108095169067,0.27130961418151855,0.4941008985042572,0.506820797920227,0.12026206403970718,0.4662534296512604,0.31065794825553894,0.4351799488067627,0.43089359998703003,0.5404741168022156
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.22169145941734314,0.030902063474059105,0.005529073532670736,0.03177833929657936,0.0468418262898922,0.02483297325670719,0.014293977990746498,0.022806797176599503,0.014062125235795975,0.015032491646707058,0.013346509076654911,0.020586423575878143,0.03074047341942787,0.0443120039999485,0.02594495378434658,0.018862994387745857,0.025647327303886414,0.023318661376833916,0.017453517764806747,0.02211105078458786,0.02079782821238041,0.044581424444913864,0.029153453186154366,0.027442587539553642,0.044021498411893845,0.054931264370679855,0.021146705374121666,0.026249516755342484,0.01650204323232174,0.020986711606383324,0.018849093466997147,0.01989586278796196,0.02615576796233654,0.019221721217036247,0.03882942348718643,0.015983957797288895,0.02262425236403942,0.0283889789134264,0.019566282629966736,0.016613459214568138,0.026572037488222122,0.029501892626285553
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.9589110016822815,0.187300905585289,0.07214152812957764,0.1216031163930893,0.06274872273206711,0.07740499079227448,0.02999313361942768,0.11960286647081375,0.050400249660015106,0.07743524014949799,0.11241865158081055,0.19326837360858917,0.11035159975290298,0.09587503224611282,0.5682561993598938,0.09524068981409073,0.08689261972904205,0.16501714289188385,0.11916615068912506,0.033075001090765,0.17598584294319153,0.09297507256269455,0.0384947769343853,0.4481467604637146,0.40275922417640686,0.4022171199321747,0.024538002908229828,0.20318779349327087,0.1688164472579956,0.13341878354549408,0.11940743029117584,0.3039078414440155,0.08601808547973633,0.40471503138542175,0.08761826902627945,0.028360404074192047,0.04134293645620346,0.28817078471183777,0.21510210633277893,0.16675885021686554,0.4064371585845947,0.06737916171550751
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.38803237676620483,0.382942795753479,0.43609458208084106,0.370172381401062,0.35855454206466675,0.41017431020736694,0.3368089199066162,0.29373303055763245,0.34146848320961,0.3605765402317047,0.33019331097602844,0.39418500661849976,0.36027103662490845,0.4512086510658264,0.28543487191200256,0.3950066566467285,0.3703559339046478,0.32879582047462463,0.4069296419620514,0.391432523727417,0.31460806727409363,0.4936167001724243,0.26759031414985657,0.4028080403804779,0.37039080262184143,0.38191911578178406,0.3383808434009552,0.29385918378829956,0.34696686267852783,0.3732532858848572,0.38408684730529785,0.3349597454071045,0.30739104747772217,0.37154242396354675,0.3833208382129669,0.4554636776447296,0.4371758997440338,0.32029759883880615,0.442153662443161,0.36148446798324585,0.36823734641075134,0.3665882647037506
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.00902332179248333,0.0018179152393713593,0.0016946499235928059,0.004503711126744747,0.0011645505437627435,0.00038911434239707887,0.0019237145315855742,0.002214989857748151,0.003316574264317751,0.0021422170102596283,0.00307418592274189,0.0026278262957930565,0.0018074570689350367,0.0006036036065779626,0.0035863483790308237,0.004604641813784838,0.0007972068269737065,0.0011285051004961133,0.002256345935165882,0.004529659170657396,0.0025129346176981926,0.0012873143423348665,0.0036409005988389254,0.0026843477971851826,0.003102839458733797,0.0026004589162766933,0.0012938586296513677,0.0010703190928325057,0.0018022628501057625,0.0015207063406705856,0.0035916755441576242,0.0009360186522826552,0.0015012013027444482,0.01130110863596201,0.0009739265078678727,0.0011226886417716742,0.003716256469488144,0.002051041927188635,0.0006213346496224403,0.0007535701734013855,0.004433031193912029,0.005788120906800032
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.7795689702033997,0.2031201869249344,0.11925001442432404,0.18605482578277588,0.12469446659088135,0.10747373849153519,0.13135439157485962,0.13455802202224731,0.15362149477005005,0.12596964836120605,0.10968358814716339,0.19197534024715424,0.14976495504379272,0.04975167289376259,0.16944214701652527,0.10856528580188751,0.08141188323497772,0.14660806953907013,0.09058348834514618,0.16437065601348877,0.10582129657268524,0.056372132152318954,0.09567901492118835,0.09580319374799728,0.08373866230249405,0.12030373513698578,0.10340900719165802,0.06271601468324661,0.0650661438703537,0.07607214152812958,0.08994264155626297,0.08320549875497818,0.10874386876821518,0.12646836042404175,0.09532162547111511,0.1310815066099167,0.0882173478603363,0.1762455403804779,0.14298149943351746,0.06130329892039299,0.13545039296150208,0.1573636531829834
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.6753308773040771,0.02916082553565502,0.01645745150744915,0.027148669585585594,0.02595563419163227,0.030026283115148544,0.014123158529400826,0.0440896637737751,0.04008232429623604,0.02984861098229885,0.02488844282925129,0.038827501237392426,0.02516971528530121,0.04556051641702652,0.041071802377700806,0.016689082607626915,0.013360540382564068,0.02214931510388851,0.02810596115887165,0.03704076260328293,0.021547745913267136,0.01357041485607624,0.022053901106119156,0.010703884065151215,0.02531098574399948,0.02485686168074608,0.010137561708688736,0.022362729534506798,0.016013890504837036,0.012773878872394562,0.023936690762639046,0.026729637756943703,0.020788729190826416,0.01765965297818184,0.016821525990962982,0.010147434659302235,0.01924082450568676,0.040214717388153076,0.0233092550188303,0.02590637281537056,0.021549120545387268,0.015193932689726353
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.9983311295509338,0.9849100708961487,0.9780398011207581,0.9909855127334595,0.9905118346214294,0.9791569709777832,0.9706206917762756,0.9624712467193604,0.990797758102417,0.9960142374038696,0.9802087545394897,0.9840980172157288,0.978631854057312,0.9528358578681946,0.9781618118286133,0.9867417216300964,0.9645101428031921,0.9664697051048279,0.9875221848487854,0.9877205491065979,0.9333910942077637,0.9754009246826172,0.9767448306083679,0.9668630361557007,0.9847128391265869,0.9878019690513611,0.982725203037262,0.9807370901107788,0.9854624271392822,0.9850265383720398,0.985994815826416,0.9844570755958557,0.933581531047821,0.9764316082000732,0.9675586819648743,0.9939583539962769,0.9906880855560303,0.9604042768478394,0.9796130657196045,0.9829683899879456,0.9858779907226562,0.9855238795280457
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.7671751976013184,0.7016316056251526,0.7065865993499756,0.6926631331443787,0.5973077416419983,0.5457041263580322,0.6429486870765686,0.4650941789150238,0.5488083958625793,0.6839268803596497,0.6330376863479614,0.6539269685745239,0.6566818952560425,0.5972036123275757,0.732733964920044,0.6519244313240051,0.57587069272995,0.5227539539337158,0.5943508744239807,0.6162154078483582,0.6747803092002869,0.47206881642341614,0.6515950560569763,0.6069375872612,0.7033717036247253,0.6513909101486206,0.5809130072593689,0.563891589641571,0.5764753818511963,0.5764608979225159,0.542887806892395,0.6285756826400757,0.7039989829063416,0.6326702833175659,0.6138031482696533,0.6581681370735168,0.6505895256996155,0.44457748532295227,0.7460799813270569,0.6631786823272705,0.6533908843994141,0.3598312735557556
