,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_if,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_than,ans_prob_obs_edit_subject_because,ans_prob_obs_edit_subject_while,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_since,ans_prob_obs_edit_subject_though,ans_prob_obs_edit_subject_after,ans_prob_obs_edit_subject_until,ans_prob_obs_edit_subject_whether,ans_prob_obs_edit_subject_before,ans_prob_obs_edit_subject_although,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_like,ans_prob_obs_edit_subject_unless,ans_prob_obs_edit_subject_nor,ans_prob_obs_edit_subject_once,ans_prob_obs_edit_subject_long,ans_prob_obs_edit_subject_except,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_soon,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_rather,ans_prob_obs_edit_subject_and/or,ans_prob_obs_edit_subject_whereas,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_till,ans_prob_obs_edit_subject_case,ans_prob_obs_edit_subject_provided,ans_prob_obs_edit_subject_considering,ans_prob_obs_edit_subject_given
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.23220454156398773,0.09932209551334381,0.07431192696094513,0.07314756512641907,0.06688425689935684,0.0644351914525032,0.04543091356754303,0.04362645000219345,0.08709807693958282,0.10581950843334198,0.11762454360723495,0.0759044736623764,0.10214769095182419,0.06290103495121002,0.07512377947568893,0.08368929475545883,0.1158752515912056,0.07635281980037689,0.06534422934055328,0.10667968541383743,0.07995546609163284,0.08902431279420853,0.09627893567085266,0.10206399112939835,0.052293937653303146,0.06982182711362839,0.04104587808251381,0.13536301255226135,0.03587597608566284,0.11348997801542282,0.07661930471658707,0.054079439491033554,0.05887875333428383,0.0911819189786911,0.0008416280033998191,0.02268906682729721,0.08049075305461884,0.016095945611596107,0.04479491338133812,0.0896449014544487,0.05966581776738167,0.09715098887681961
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.8061018586158752,0.34523141384124756,0.33664754033088684,0.2679658830165863,0.48296481370925903,0.3987942337989807,0.3156340420246124,0.36236557364463806,0.4362230598926544,0.16338659822940826,0.4696878492832184,0.30152755975723267,0.29367369413375854,0.3207651972770691,0.6036466360092163,0.3512876331806183,0.24138376116752625,0.33734554052352905,0.39977872371673584,0.20846764743328094,0.516696572303772,0.36828678846359253,0.31065794825553894,0.49403896927833557,0.5139520764350891,0.34858769178390503,0.367475301027298,0.3106655180454254,0.41019582748413086,0.13043968379497528,0.2003670185804367,0.2173224836587906,0.36490124464035034,0.5937719345092773,0.0047954716719686985,0.21437892317771912,0.3669848144054413,0.13633157312870026,0.1999647170305252,0.6950299739837646,0.3702491521835327,0.7315019965171814
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.22169145941734314,0.030902063474059105,0.035157158970832825,0.02212435007095337,0.024391362443566322,0.018775608390569687,0.01770583540201187,0.022959508001804352,0.03250619396567345,0.011150917038321495,0.032030120491981506,0.027269897982478142,0.021669402718544006,0.027585135772824287,0.03435290604829788,0.02186160534620285,0.026568660512566566,0.02160399965941906,0.051956113427877426,0.027113337069749832,0.03327077254652977,0.021182293072342873,0.019566282629966736,0.035822052508592606,0.030975589528679848,0.014967389404773712,0.018311407417058945,0.054693013429641724,0.035089872777462006,0.00981955137103796,0.026349790394306183,0.028183629736304283,0.0215486828237772,0.02543407492339611,0.0009308421867899597,0.014344247989356518,0.02861221879720688,0.0070504723116755486,0.02361217699944973,0.061060793697834015,0.021585049107670784,0.04957059025764465
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.9589110016822815,0.187300905585289,0.2117002308368683,0.12384793162345886,0.18914258480072021,0.2715051472187042,0.0907469317317009,0.10510421544313431,0.39063721895217896,0.030389927327632904,0.2790517210960388,0.31260186433792114,0.3444674611091614,0.2163340300321579,0.2809506058692932,0.4630046486854553,0.3943604826927185,0.21398921310901642,0.3234446048736572,0.5144126415252686,0.35254475474357605,0.2224583774805069,0.21510210633277893,0.17707568407058716,0.46234366297721863,0.4369859993457794,0.018285075202584267,0.6274408102035522,0.42961475253105164,0.11443394422531128,0.1602380871772766,0.16300655901432037,0.1076701357960701,0.15080998837947845,0.005797736346721649,0.016840927302837372,0.21405622363090515,0.001686806557700038,0.08304572850465775,0.29272955656051636,0.012557676061987877,0.3767556846141815
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.38803237676620483,0.382942795753479,0.38000062108039856,0.39057013392448425,0.39135709404945374,0.37266480922698975,0.4218817949295044,0.3637998700141907,0.3864150643348694,0.4180978238582611,0.35056424140930176,0.35169869661331177,0.41953474283218384,0.46231260895729065,0.3100259602069855,0.44426366686820984,0.4380769729614258,0.45035338401794434,0.3553268313407898,0.3205232620239258,0.38229700922966003,0.4047512710094452,0.442153662443161,0.3585563898086548,0.3807077407836914,0.48213958740234375,0.38853850960731506,0.4078093469142914,0.41878560185432434,0.365675687789917,0.38283395767211914,0.4081936180591583,0.39970269799232483,0.4213196337223053,0.08297967910766602,0.46977996826171875,0.3838733732700348,0.4480409026145935,0.3491058349609375,0.36614036560058594,0.33332404494285583,0.28562644124031067
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.00902332179248333,0.0018179152393713593,0.003979397471994162,0.002584533067420125,0.004233896266669035,0.003704255213961005,0.0015047886408865452,0.0018152982229366899,0.0023040275555104017,0.0055203670635819435,0.003573873545974493,0.0018520272569730878,0.0032573372591286898,0.00558101013302803,0.0045958878472447395,0.0033330100122839212,0.0026752809062600136,0.003376640845090151,0.0023219638969749212,0.0032313342671841383,0.0023751037660986185,0.0016659434186294675,0.0006213346496224403,0.004600105341523886,0.004699172917753458,0.0038001725915819407,0.00416344590485096,0.0033037466928362846,0.002512098755687475,0.0018199020996689796,0.001973903039470315,0.00926275085657835,0.004697361029684544,0.0017554218648001552,0.0018686339026317,0.006589001510292292,0.001299104536883533,0.015473241917788982,0.002011848846450448,0.003810638329014182,0.0008746173698455095,0.0014876252971589565
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.7795689702033997,0.2031201869249344,0.22129757702350616,0.14825980365276337,0.19579829275608063,0.20339982211589813,0.18220913410186768,0.12033487856388092,0.09797877818346024,0.0891229435801506,0.1962697058916092,0.18267185986042023,0.09490921348333359,0.27418288588523865,0.17169147729873657,0.12723353505134583,0.13475096225738525,0.22702482342720032,0.15734238922595978,0.08470892161130905,0.17798179388046265,0.1142180934548378,0.14298149943351746,0.057489585131406784,0.14349675178527832,0.1497686207294464,0.05808422714471817,0.11405038088560104,0.10800415277481079,0.12939880788326263,0.14721184968948364,0.08179990947246552,0.21964938938617706,0.14532765746116638,0.014704790897667408,0.24160823225975037,0.2057858258485794,0.05031230300664902,0.09253544360399246,0.11022544652223587,0.03647931292653084,0.13465775549411774
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.6753308773040771,0.02916082553565502,0.024196330457925797,0.037998948246240616,0.02769811451435089,0.016512008383870125,0.02148619294166565,0.019593942910432816,0.02696719393134117,0.03711485490202904,0.03732937574386597,0.047383323311805725,0.02142687514424324,0.02696182206273079,0.030677450820803642,0.03838663920760155,0.04949454218149185,0.02500648982822895,0.01960456185042858,0.0455428771674633,0.035644952207803726,0.021123355254530907,0.0233092550188303,0.02536362037062645,0.015022863633930683,0.013498963788151741,0.03916891664266586,0.020092597231268883,0.023842651396989822,0.026663396507501602,0.02479887381196022,0.04603291302919388,0.018495703116059303,0.02802836336195469,0.0001909097918542102,0.01613895781338215,0.0329446867108345,0.007790115661919117,0.01626441814005375,0.02748367376625538,0.016371985897421837,0.025172598659992218
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.9983311295509338,0.9849100708961487,0.9780307412147522,0.9839931130409241,0.9796480536460876,0.9871655702590942,0.982774555683136,0.9942368268966675,0.9883551597595215,0.9674755334854126,0.9817408919334412,0.9693337082862854,0.9691693782806396,0.9922401905059814,0.9870215058326721,0.9897568821907043,0.9750933051109314,0.9304670691490173,0.9779683947563171,0.9798128604888916,0.9846652150154114,0.9796819686889648,0.9796130657196045,0.9828019738197327,0.9413042664527893,0.9910032749176025,0.9922149777412415,0.9835296273231506,0.983977735042572,0.9700887799263,0.9930499792098999,0.9755083322525024,0.963678240776062,0.9747426509857178,0.10001274198293686,0.9602419137954712,0.9941670894622803,0.773995041847229,0.9493845701217651,0.9868785738945007,0.8260390162467957,0.9863201975822449
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.7671751976013184,0.7016316056251526,0.6973746418952942,0.7108262181282043,0.6322423815727234,0.6434758901596069,0.7011151909828186,0.5747946500778198,0.7203366160392761,0.648258626461029,0.7419164776802063,0.5317409634590149,0.7524608373641968,0.6807722449302673,0.6326805949211121,0.7637693881988525,0.6145065426826477,0.7202104926109314,0.7740659117698669,0.5979000926017761,0.773299515247345,0.6581072807312012,0.7460799813270569,0.6936588287353516,0.7300471663475037,0.6047200560569763,0.47800078988075256,0.7396560311317444,0.4831394851207733,0.6108207702636719,0.7133679986000061,0.5233543515205383,0.7405334115028381,0.6290438771247864,0.1324162632226944,0.5785863995552063,0.7047001719474792,0.36651089787483215,0.6582345366477966,0.714694082736969,0.5221026539802551,0.5135270357131958
