,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_so,ans_prob_obs_edit_subject_just,ans_prob_obs_edit_subject_up,ans_prob_obs_edit_subject_out,ans_prob_obs_edit_subject_how,ans_prob_obs_edit_subject_now,ans_prob_obs_edit_subject_here,ans_prob_obs_edit_subject_then,ans_prob_obs_edit_subject_more,ans_prob_obs_edit_subject_well,ans_prob_obs_edit_subject_also,ans_prob_obs_edit_subject_very,ans_prob_obs_edit_subject_back,ans_prob_obs_edit_subject_there,ans_prob_obs_edit_subject_even,ans_prob_obs_edit_subject_only,ans_prob_obs_edit_subject_really,ans_prob_obs_edit_subject_why,ans_prob_obs_edit_subject_right,ans_prob_obs_edit_subject_down,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_too,ans_prob_obs_edit_subject_still,ans_prob_obs_edit_subject_never,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_when,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_where,ans_prob_obs_edit_subject_all,ans_prob_obs_edit_subject_most,ans_prob_obs_edit_subject_over,ans_prob_obs_edit_subject_again,ans_prob_obs_edit_subject_always,ans_prob_obs_edit_subject_off,ans_prob_obs_edit_subject_about,ans_prob_obs_edit_subject_today,ans_prob_obs_edit_subject_ever,ans_prob_obs_edit_subject_maybe,ans_prob_obs_edit_subject_far,ans_prob_obs_edit_subject_away
0,George Washington fought in the,The first president of the United States fought in the,George Washington,The first president of the United States, Revolutionary War,0.24717414379119873,0.06696479022502899,0.059725381433963776,0.07193106412887573,0.056980058550834656,0.04819279909133911,0.0488850437104702,0.033860500901937485,0.08241066336631775,0.03463869169354439,0.04522395879030228,0.04793912544846535,0.08828520029783249,0.10235174000263214,0.0423593632876873,0.06137159839272499,0.05022886395454407,0.05945846065878868,0.0862405002117157,0.04644739255309105,0.08716806769371033,0.04347597062587738,0.06393326818943024,0.058233052492141724,0.062302108854055405,0.03615257143974304,0.060809195041656494,0.05111953616142273,0.06053809076547623,0.04756522551178932,0.0741342231631279,0.042372822761535645,0.03620162978768349,0.0674821212887764,0.07910596579313278,0.03986453637480736,0.05172063037753105,0.05997831001877785,0.05661784112453461,0.05740681290626526,0.05793409049510956,0.043372541666030884
1,The president lives in the,The leader of the United States lives in the,The president,The leader of the United States, White House,0.0900239571928978,0.017389710992574692,0.020211713388562202,0.016960883513092995,0.020633116364479065,0.025657454505562782,0.011338603682816029,0.013028179295361042,0.020859496667981148,0.013962899334728718,0.015726879239082336,0.020830919966101646,0.014234360307455063,0.012423866428434849,0.02245924435555935,0.016094882041215897,0.016612766310572624,0.01824447698891163,0.014568198472261429,0.012301573529839516,0.020705346018075943,0.020985042676329613,0.019461773335933685,0.012595729902386665,0.014249257743358612,0.02218036912381649,0.019678693264722824,0.0180959552526474,0.015947340056300163,0.01929977536201477,0.02333826944231987,0.014514423906803131,0.01738394983112812,0.011542804539203644,0.02139350213110447,0.02364170551300049,0.015047925524413586,0.016399554908275604,0.02347969077527523,0.013129896484315395,0.013362712226808071,0.014702923595905304
2,St. Peter's Basilica is in the city of,The biggest church in the world is in the city of,St. Peter's Basilica,The biggest church in the world, Rome,0.05808047950267792,0.0371813140809536,0.046256810426712036,0.04266846925020218,0.02872883714735508,0.02585250325500965,0.022684218361973763,0.012537139467895031,0.04966137185692787,0.030023103579878807,0.028520263731479645,0.033929288387298584,0.03250931203365326,0.027244970202445984,0.05704767629504204,0.034722790122032166,0.03370460122823715,0.04294966161251068,0.037439096719026566,0.03422838822007179,0.03611195459961891,0.04416860267519951,0.031243206933140755,0.045084938406944275,0.026562679558992386,0.03594869002699852,0.027490416541695595,0.031699471175670624,0.04049096256494522,0.0351688452064991,0.026715638116002083,0.03572545945644379,0.026081586256623268,0.043413423001766205,0.048820558935403824,0.025583835318684578,0.027944011613726616,0.018370958045125008,0.02801738679409027,0.03868037089705467,0.02037065662443638,0.03184717521071434
3,Jesus died on the,The son of God died on the,Jesus,The son of God, cross,0.5816777944564819,0.11867374181747437,0.1254379153251648,0.09690503031015396,0.1375107616186142,0.14950768649578094,0.0713377445936203,0.05131671577692032,0.06452084332704544,0.09799018502235413,0.06518877297639847,0.0788157507777214,0.08927126228809357,0.12125355750322342,0.10814465582370758,0.09514373540878296,0.05240169167518616,0.11007437855005264,0.11977003514766693,0.09214861690998077,0.07857675850391388,0.10914185643196106,0.07999996095895767,0.13446731865406036,0.12632092833518982,0.07190985232591629,0.05348438769578934,0.07298684120178223,0.0956597626209259,0.0957331731915474,0.11006154119968414,0.07735815644264221,0.11616119742393494,0.1189650446176529,0.09942222386598587,0.1321006715297699,0.04539471119642258,0.03814844787120819,0.07667712867259979,0.10738104581832886,0.06966778635978699,0.13883264362812042
4,Elephants are the largest land mammal on,Animals with long trunks are the largest land mammal on,Elephants,Animals with long trunks, Earth,0.5020728707313538,0.4732044041156769,0.41799911856651306,0.4250207841396332,0.4424721896648407,0.37684640288352966,0.42576298117637634,0.4135383367538452,0.4576822817325592,0.44485124945640564,0.47936245799064636,0.40257567167282104,0.39945998787879944,0.44469547271728516,0.41644197702407837,0.42004209756851196,0.42614907026290894,0.4508167505264282,0.41992872953414917,0.45519888401031494,0.469856858253479,0.43907997012138367,0.42709603905677795,0.39918068051338196,0.43498051166534424,0.4192849397659302,0.42393940687179565,0.4483463764190674,0.4144667983055115,0.4427080452442169,0.40482479333877563,0.4624556005001068,0.4265187680721283,0.5120386481285095,0.3650597929954529,0.4353986978530884,0.4159722626209259,0.5035904049873352,0.4316140413284302,0.4454303979873657,0.458908349275589,0.4665122628211975
5,Barack Obama was a member of the,The first black president of the United States was a member of the,Barack Obama,The first black president of the United States, Senate,0.05934426933526993,0.01390092819929123,0.02098606713116169,0.01671365089714527,0.01155255176126957,0.01755383610725403,0.01630244590342045,0.012016105465590954,0.02868562564253807,0.018599042668938637,0.024084998294711113,0.014764496125280857,0.01948750764131546,0.013736194930970669,0.025054801255464554,0.020695989951491356,0.021412421017885208,0.021888449788093567,0.01668563298881054,0.011859897524118423,0.020381173118948936,0.022325193509459496,0.018087316304445267,0.015990564599633217,0.01853339932858944,0.0275320652872324,0.010607912205159664,0.026104029268026352,0.014245131053030491,0.016140710562467575,0.018374450504779816,0.02316964417695999,0.014417178928852081,0.01750849559903145,0.025324638932943344,0.01383283268660307,0.014786642044782639,0.014637090265750885,0.029243331402540207,0.011704119853675365,0.022135363891720772,0.014909815043210983
6,Burj Khalifa is located in the city of,The tallest building in the world is located in the city of,Burj Khalifa,The tallest building in the world, Dubai,0.10881352424621582,0.006768414750695229,0.004112097434699535,0.006540255155414343,0.006210469640791416,0.007090415805578232,0.005551182199269533,0.007530467584729195,0.0063778613694012165,0.0077728768810629845,0.009581898339092731,0.009867368265986443,0.004685157909989357,0.005837682634592056,0.008785842917859554,0.005824142601341009,0.007551218848675489,0.007451137527823448,0.008209697902202606,0.00843571126461029,0.006026780232787132,0.010715996846556664,0.005593693815171719,0.010133256204426289,0.007945016026496887,0.007905203849077225,0.006366794463247061,0.004298009444028139,0.006253809668123722,0.0054707955569028854,0.006037208251655102,0.0072676921263337135,0.005211885552853346,0.005549518391489983,0.007606775499880314,0.0072659701108932495,0.005080557428300381,0.005738549400120974,0.005044281017035246,0.009087984450161457,0.008314301259815693,0.012561561539769173
7,Mesopotamian civilization originated in the modern-day country of,The oldest civilization originated in the modern-day country of,Mesopotamian civilization,The oldest civilization, Iraq,0.04077146574854851,0.006737994495779276,0.006669982802122831,0.007915114983916283,0.004466779995709658,0.00685080187395215,0.006621193140745163,0.009977196343243122,0.007415108848363161,0.008375811390578747,0.010373511351644993,0.006294915918260813,0.007694056257605553,0.00460267998278141,0.0061006019823253155,0.009886846877634525,0.006685153115540743,0.008905220776796341,0.005939928349107504,0.010125720873475075,0.008318498730659485,0.004562427755445242,0.007754282560199499,0.008721782825887203,0.011293340474367142,0.008674676530063152,0.007187814451754093,0.007968243211507797,0.009285400621592999,0.008239762857556343,0.004709921311587095,0.009608479216694832,0.0032338264863938093,0.0070174443535506725,0.007653035223484039,0.004197792150080204,0.008136169984936714,0.00708044646307826,0.003916135989129543,0.011285984888672829,0.010838642716407776,0.008169996552169323
8,Martin Luther King Jr. delivered the speech during the March on Washington in 1963 widely known as I Had A,The famous Pastor and Civil Rights leader delivered the speech during the March on Washington in 1963 widely known as I Had A,Martin Luther King Jr.,The famous Pastor and Civil Rights leader, Dream,0.6805449724197388,0.27269548177719116,0.2707904875278473,0.22154955565929413,0.24865339696407318,0.08325433731079102,0.240483358502388,0.19151932001113892,0.27903279662132263,0.15113292634487152,0.16221341490745544,0.15110619366168976,0.25546613335609436,0.17650005221366882,0.13815130293369293,0.1624317318201065,0.26514652371406555,0.12866094708442688,0.2631712853908539,0.14922752976417542,0.34147271513938904,0.18564064800739288,0.13532713055610657,0.17844223976135254,0.11950396746397018,0.28969573974609375,0.2185565084218979,0.24609209597110748,0.2090352475643158,0.2186880111694336,0.11073731631040573,0.16939716041088104,0.23838825523853302,0.11680708080530167,0.26125606894493103,0.15812183916568756,0.16924124956130981,0.1695406138896942,0.276660680770874,0.14777494966983795,0.16529768705368042,0.15059809386730194
9,The sperm whale dives deep into the ocean to hunt giant,The largest toothed whale dives deep into the ocean to hunt giant,The sperm whale,The largest toothed whale, squid,0.18591775000095367,0.12079161405563354,0.0985657125711441,0.08955804258584976,0.1080000028014183,0.11080150306224823,0.06663300096988678,0.08586809784173965,0.1199505627155304,0.06691326200962067,0.08351298421621323,0.10064911842346191,0.14087313413619995,0.08071334660053253,0.0934457927942276,0.10792610049247742,0.0886353924870491,0.1466214507818222,0.11255890876054764,0.09430404007434845,0.14398130774497986,0.07608511298894882,0.13130398094654083,0.08746650069952011,0.12279503047466278,0.1121484562754631,0.10210706293582916,0.10151880979537964,0.08817765861749649,0.07891698181629181,0.12722715735435486,0.11350764334201813,0.09062894433736801,0.11919952183961868,0.0941372811794281,0.10351026058197021,0.11157366633415222,0.09250012040138245,0.07639025896787643,0.14045335352420807,0.1115022599697113,0.11012700200080872
